!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Placenta
!perturbation	Dexamethasone
!disease	0.5 mg/kg
!end_metadata
HBG2	-0.335575
HBZ	-0.211687
CA2	-0.181276
PRAP1	0.173944
HSD3B2	0.169926
PLA2G7	0.134319
APOB	0.134061
ADA	-0.119941
FBLN7	0.119418
APOA1	0.116875
LGALS1	-0.112437
FABP3	0.110495
SPINK1	0.104052
TPH1	0.102308
GUCA2B	0.095611
ENTPD2	0.095380
LGALS9B	-0.094328
S100G	0.092833
FGB	0.090328
HSD11B1	0.090280
DCN	0.089529
TFPI2	0.081380
CTSH	0.080923
CTSV	0.079907
AKR1C3	0.077562
PPIB	-0.076178
NME2	-0.074141
PLAC8	-0.072495
SEPP1	0.072466
APOA4	0.069564
ANXA3	0.069026
AQP8	0.068400
MRFAP1	-0.067446
DMKN	0.066894
PFN1	-0.066068
RPS23	-0.065959
HTRA1	0.065382
CTGF	0.064895
GPX3	0.063231
PLAC1	-0.062301
A2M	-0.061091
SFTPD	0.060738
RBP4	0.058555
RPL6	-0.058081
CUZD1	0.057646
FH	-0.055573
CYP11A1	0.055176
ANXA1	0.055037
RPL36AL	-0.054575
TBRG1	-0.054120
APRT	-0.053942
BASP1	-0.052266
CRIP1	0.051394
RNASE4	0.050987
P4HB	-0.049802
GKN2	0.049386
DBI	-0.049359
HIST1H2BI	0.049215
FDX1	0.048441
CHCHD2	0.048374
TSC22D1	0.048282
ACTG1	-0.048241
PSMD8	0.048206
SGK1	0.048093
EEF1B2	0.047973
AFP	0.047906
LPL	0.047734
C3	0.047676
CLIC1	0.047451
SERPINH1	-0.047378
PSMD1	0.046717
CTSB	0.046656
RPS8	-0.046064
CREG1	-0.045974
HSPD1	-0.045956
FAM134B	0.045874
ADAMDEC1	0.045843
KNG1	0.045555
RPL26	0.044725
RPL10A	-0.044651
GABARAPL1	0.044124
RPS26	-0.043694
SERPINB6	0.042981
TUBA1B	-0.042882
RNF130	0.042674
MGST1	0.041948
PNP	0.041335
FCGR2A	0.041257
COX4I1	-0.041231
SEC61G	-0.041191
B2M	0.040418
TNFRSF9	-0.040317
ANXA4	-0.039417
PLET1	0.039253
GLUL	0.038855
GHR	0.038793
KRT8	-0.038699
COL3A1	-0.038584
IGFBP2	0.038300
GALK1	-0.037463
SPP2	0.037050
RPN1	-0.036990
RPS5	-0.036916
PMP22	0.036788
DUSP9	-0.036298
HSP90AB1	-0.036264
RPS24	-0.036255
PLBD1	-0.035780
SLC39A8	0.035296
IER3	0.035094
ALDOB	-0.035056
BTG1	0.034977
LEPR	0.034653
ASS1	-0.034595
ALB	0.034038
HBE1	-0.033991
TMEM14C	-0.033953
ADM	0.033776
MFAP5	0.033478
FAM129B	0.033406
TFPI	-0.033037
H2AFZ	-0.032993
CTSK	0.032927
COL1A2	-0.032916
TMA7	-0.032814
CD9	0.032465
TUBB	-0.032353
LAMP1	0.032212
CPE	0.032124
ITM2C	0.032100
DDB1	-0.032091
RPL19	-0.032084
RPS27L	-0.032066
UBC	0.032052
PSMB7	-0.031959
NAPSA	0.031855
CKS1B	-0.031574
GKAP1	-0.031455
FXYD6	0.031224
RPLP2	-0.031186
LYPD8	0.031177
CDH1	0.031173
NPC2	0.030988
CRYAB	0.030778
RPL3	-0.030639
RPL13A	-0.030611
ETS2	-0.030592
ARPC1B	-0.030431
ATP5A1	-0.030430
ALAD	-0.030408
PLAGL1	0.030401
SLC23A3	0.030385
GRN	0.030359
LBP	0.030337
RPL11	-0.030264
CD68	0.030227
GNS	0.030175
NDUFS2	-0.030167
OLR1	-0.030161
GGA2	-0.030122
TIMP2	0.029968
TUBA1A	-0.029922
F11	0.029889
MIF	-0.029862
PCYOX1	0.029476
SUMO2	-0.029378
C1QBP	-0.029276
SRI	-0.029253
H6PD	0.029143
CAV1	0.028904
ATP6V0C	0.028885
LAPTM4B	0.028537
OSTC	-0.028518
RPS19	-0.028489
FTH1	0.028459
HSPA5	-0.028353
COX7A2	-0.027902
ANXA11	-0.027901
RPL21	-0.027856
PERP	0.027780
CKS2	-0.027507
PRNP	0.027487
F2	0.027483
EEF1G	-0.027403
CNN3	0.027278
ATP5J2	-0.027257
CRELD2	-0.027197
VKORC1	-0.027180
LAMP2	0.027084
ACTR3	-0.027083
SOCS2	0.026987
DYNLL2	-0.026956
LDHA	-0.026831
ACTR2	-0.026751
RPS13	-0.026684
BNIP3	0.026667
TF	0.026627
HMOX1	-0.026548
TPI1	-0.026511
MYADM	0.026411
LAS1L	-0.026388
SLC16A1	-0.026292
EGLN3	0.026254
ATP5B	-0.026128
NPM1	-0.026104
ARPC3	-0.026005
SLC40A1	0.025950
SARAF	0.025915
MANF	-0.025780
CITED1	0.025767
RANBP1	-0.025741
RPSA	-0.025579
APOM	0.025497
CALR	-0.025383
EEF2	-0.025281
ATP5G3	-0.025254
FOS	0.025206
PNRC1	0.025194
ACTB	0.025046
F3	0.025031
VCP	-0.025004
KLHL22	-0.024873
ATP6AP1	0.024870
SNRPD2	-0.024826
PLAUR	0.024818
CST3	0.024797
F2R	0.024638
IFITM3	0.024577
HSPE1	-0.024474
DNAJB9	0.024272
BEX4	0.024074
NUPR1	0.024010
MAP1LC3B	0.023958
TXN	-0.023595
ESD	-0.023497
RPLP0	-0.023484
BAG1	0.023444
