!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Liver
!perturbation	Dexamethasone
!end_metadata
SAA1	0.355407
TAT	0.243897
SAA2-SAA4	0.232383
BHMT	0.196184
SEC14L4	0.190819
AASS	0.167242
NNMT	0.165260
DDIT4	0.150578
APOA1	0.136611
SELENBP1	0.132297
PLIN5	0.130314
LRG1	0.123879
ST3GAL5	0.117677
CTSV	0.111673
ANGPTL4	0.110188
THRSP	0.108209
ECI2	0.106916
SERPINA3	0.105791
CDO1	0.105053
ASS1	0.103971
HPX	0.101143
MRAP	0.100184
POR	0.099004
PLIN2	-0.095325
GNMT	0.095006
HP	0.094484
MAT1A	0.087666
FGG	0.084678
AHSG	0.084498
HERPUD1	0.080102
ASL	0.078662
TDO2	0.078564
EIF4EBP3	0.077828
AMY2A	0.077228
ALDH1L1	0.076520
DBP	-0.076513
COMT	-0.076121
UBC	0.075078
NUDT7	-0.074005
GSTA3	0.073604
SDS	0.073317
LPIN1	0.070895
FMO5	0.070481
GADD45G	0.069418
SLC25A5	0.068896
APOH	0.068634
SLC37A4	0.068417
LARS2	-0.067373
FTH1	0.065803
CYP2E1	0.065674
AMACR	0.065513
COX2	-0.065359
BHMT2	0.065081
INMT	-0.061460
GPT2	0.060788
BNIP3	0.059761
AQP8	-0.059448
APOA5	-0.057702
CHCHD10	-0.055884
DHCR24	0.055839
ITIH3	0.053893
HPD	0.053730
SEC14L2	-0.053107
ARG1	0.052828
ERRFI1	0.051649
APOA2	-0.051541
VTN	0.050153
PEX11A	0.050016
ALDOB	0.049816
GPX1	-0.049693
SERPINA1	0.049160
INSIG2	0.048175
ACOX1	-0.046942
ADK	0.046510
GSTM5	0.046336
PAH	0.045847
EPHX2	-0.045780
IGFBP1	0.045616
FAU	0.044642
RPS14	0.044348
KRT18	-0.043678
LDHA	0.042692
FABP1	-0.042565
SERINC3	0.042225
GSTP1	0.041891
DGAT2	0.041047
PHYH	0.040905
FETUB	-0.040196
CHCHD2	0.039841
RPS7	0.039826
RPS23	0.039673
HBB	0.039593
HSD3B7	-0.039180
GOT1	0.038805
RPS16	0.038784
RPL5	0.038565
SREBF1	-0.038451
PC	0.038087
EEF1A1	0.038076
LEAP2	0.037946
AZGP1	0.037347
CYP3A5	0.037246
TUBA1C	0.036618
SLC25A47	0.036286
MDH2	0.035658
AKR1C4	-0.035387
ASGR2	-0.034902
SCD	-0.034444
CA3	-0.033866
SORD	-0.033412
CRELD2	-0.033174
FGA	0.033131
PPA1	0.032906
AGPAT6	0.032761
RPL12	0.032752
TMEM37	0.032405
RPS27A	0.032254
RPLP2	0.032173
ADH4	-0.031942
RPL37A	0.031368
HINT1	0.030450
MGST1	0.030085
PHLDA1	-0.029227
ETFB	-0.029222
RARRES2	-0.029080
MFSD2A	0.028650
FBXO31	0.028504
DDT	0.028154
CYP2B6	0.028083
ALB	0.028073
ATP1A1	0.028018
TTPA	0.027773
CSAD	0.027740
ACAA1	-0.027534
GC	0.027466
ZFPM1	-0.026765
APOF	0.026621
NAT8B	-0.026504
ACADM	0.026269
USMG5	0.026173
GCGR	-0.026117
HIST1H1C	0.026067
C3	-0.025877
RGS16	0.025844
NDUFB10	-0.025635
ADH1C	-0.025555
MCFD2	0.025512
PROC	-0.025457
APOC4	-0.025316
AHCY	0.025221
ADIPOR2	-0.025168
CCBL2	-0.024643
NDUFA4	0.024341
HSD17B2	0.024267
SLC38A3	-0.024071
RBP4	-0.023747
RPL13A	0.023593
SERPINF2	-0.023567
ANGPTL3	0.023339
SLC6A9	0.023234
SYVN1	-0.023223
GPD1	-0.023064
GCDH	-0.022965
FTL	0.022925
AGXT	-0.022869
HOPX	0.022671
TPT1	0.022183
METTL7B	-0.022074
CYP3A7	0.021889
ALDH1A1	-0.021883
RPL9	0.021848
HSP90B1	-0.021738
HNF1A	0.021691
RPL26	0.021628
HMGCS1	-0.021451
FGL1	0.021244
NR1H4	0.021095
ACOT13	-0.020999
CCBL1	0.020903
SERINC1	0.020899
KHK	0.020886
KRT8	-0.020724
ACOX2	0.020673
SLC39A4	0.020642
EBP	-0.020517
RPL8	0.020467
PIGT	-0.020318
RPL3	0.020313
SIRT3	-0.020230
ASPG	-0.020205
C20orf24	0.020028
CFI	0.019980
EGFR	0.019973
NME2	0.019898
ACO2	0.019620
MAN2A1	0.019595
CTH	0.019540
GYS2	-0.019449
MBL2	-0.019405
ODC1	0.019300
COX17	-0.019070
NPM3	0.019045
MRPL14	-0.018984
FH	0.018824
UPP2	0.018815
UQCR11	-0.018714
HLA-A	0.018646
ATP5C1	0.018250
MAP1LC3B	0.018148
PRDX1	0.018011
APIP	0.017894
EIF3G	0.017863
RPS5	0.017823
RPS12	0.017780
PSEN2	-0.017747
GAMT	-0.017590
RPL18A	0.017573
RPL10	0.017515
CEBPD	0.017447
APOM	0.017301
ABCG5	-0.017222
EI24	0.017125
ECI1	-0.017074
CROT	-0.017043
DMGDH	0.017040
ABCB11	-0.016954
AIM1	0.016924
GPT	0.016916
CEBPB	0.016910
SCAP	-0.016779
HSPA5	-0.016719
GLUL	0.016692
MSRB1	-0.016687
ATP1B1	0.016406
SLC25A13	0.016353
PGAM1	0.016319
C14orf1	-0.016316
ALDH6A1	0.016213
HS6ST1	0.016095
G6PC	-0.016012
ACSL1	0.015915
LAMP2	0.015914
OSGIN1	-0.015848
AIFM2	0.015751
UQCRQ	-0.015738
RPS28	0.015474
ATP5B	0.015429
SULT1E1	0.015297
FAM134B	0.015239
CISH	-0.015227
RPS27L	0.015214
RPL38	0.015197
C12orf57	-0.015184
SC5D	-0.015143
PPP1R3C	0.015118
PACSIN3	0.015027
QDPR	0.015016
TANGO2	0.014968
TSC22D3	0.014891
GADD45B	0.014763
SDSL	0.014655
RPL23	0.014626
GNB2L1	0.014570
SLC25A10	-0.014531
GSTM1	0.014498
RNF149	0.014455
RPS20	0.014176
RPL27	0.014083
RGN	-0.013967
PGRMC1	0.013953
C11orf83	-0.013947
FBP1	-0.013910
ELOVL5	-0.013905
TFF3	0.013905
AGT	0.013900
H2AFV	-0.013809
GBE1	0.013773
SEPHS2	0.013661
MTSS1	0.013583
LCN2	0.013568
NDRG2	-0.013559
DCAF12L2	0.013551
MPP6	-0.013535
CAT	0.013523
VKORC1	-0.013511
RPL11	0.013504
IL1R1	0.013436
RETSAT	-0.013398
ATP6V1G1	0.013397
PHYHD1	0.013348
OSBPL1A	0.013316
ELOVL3	-0.013142
HIST1H3C	0.013112
LBP	0.013091
SUCNR1	-0.013007
TMPRSS6	-0.012931
LDLR	-0.012890
GCLC	-0.012849
FASN	-0.012838
SERPINC1	0.012798
CYP27A1	0.012790
CDKN1A	0.012782
RPL19	0.012743
RPS18	0.012738
LONP2	-0.012732
CTGF	0.012703
PON1	0.012676
SFXN1	0.012637
IK	0.012586
PSMA7	0.012545
NAPRT	-0.012519
CLU	0.012515
SCP2	-0.012504
FAH	0.012503
HSD17B4	0.012458
HLA-E	0.012455
PCBP1	0.012446
CAB39L	0.012419
RPS3	0.012350
ACAT2	-0.012304
HMOX2	0.012297
ABCB4	-0.012264
FOXA2	-0.012197
PLIN3	0.012176
GALE	-0.012148
PTP4A1	0.012126
PNPLA2	0.012059
RPL35	0.012051
PCK1	-0.012045
RPL7	0.011956
C1orf174	0.011950
NDUFB9	0.011911
IGFBP2	-0.011881
RPL17	0.011850
UQCRC2	0.011839
PEPD	0.011799
DBI	-0.011701
CD81	0.011653
HAGH	-0.011638
PCBD1	-0.011592
CES3	0.011560
REEP6	-0.011551
UGT1A6	0.011534
HAL	0.011521
FPGS	0.011507
RPS9	0.011460
RPS8	0.011435
RNASEH2C	-0.011406
MIF4GD	0.011356
RPL15	0.011241
DNAJA3	0.011239
NR2F6	-0.011229
ACTG1	0.011227
SNX10	0.011220
NDUFS7	-0.011178
CCT5	0.011090
GALT	-0.011089
GSN	0.011067
FAM213A	-0.010997
TPST2	0.010992
ANAPC13	-0.010892
NSMF	-0.010810
ACBD4	-0.010766
NDUFA8	0.010756
LURAP1L	0.010714
MGLL	0.010711
RPL36AL	0.010686
PKIG	0.010670
DOPEY2	0.010619
SEC61G	0.010533
LRRC58	0.010525
UQCRFS1	0.010525
TP53INP2	0.010469
NIPSNAP1	-0.010413
