!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Airway smooth muscle (ASM) cells
!perturbation	Dexamethasone  24 hrs
!end_metadata
HBEGF	-0.083203
EGR2	-0.081451
IL11	-0.080430
TNFAIP6	-0.074948
ZBTB16	0.074473
CLDN14	-0.065219
LEP	0.064708
FOSB	-0.064704
LIF	-0.064412
CORIN	0.064112
GPX3	0.063710
THBD	-0.063171
PTGS2	-0.063012
SPARCL1	0.061751
SAA1	0.061484
FAM107A	0.060996
BDKRB1	-0.060303
CCL7	-0.057919
ANGPTL7	0.057043
CSF2	-0.056165
G0S2	-0.055099
MAOA	0.054909
IER3	-0.054808
E2F7	-0.053555
ANKRD1	0.053438
GPR68	-0.053273
KANK4	-0.053207
PAQR9	-0.053165
FKBP5	0.052494
CPM	0.052162
MIR503HG	-0.051841
IMPA2	0.051749
GDF15	-0.049755
ESM1	-0.049517
RGCC	0.047674
IGFBP2	0.047539
RASL11A	0.046938
RNF144B	0.046290
ENC1	-0.046255
SAMHD1	0.046087
PMEPA1	-0.045662
MMP10	-0.045443
GLUL	0.045188
BHLHE40	-0.044832
ITIH3	0.044509
IL33	-0.044438
IFNE	-0.043990
GGT5	0.043807
FMO2	0.043728
C10orf10	0.043456
PPP1R14A	0.043408
TSLP	-0.043211
HSPB3	0.043185
PPP1R14C	-0.042438
MMP1	-0.042043
MEST	-0.042013
GAS1	0.041501
METTL7A	0.041429
LRRC38	-0.041211
GTPBP10	-0.041048
TSC22D3	0.040840
KLF15	0.040727
ITGA10	0.040275
HSD11B1	0.040130
DACT1	-0.040100
CCL2	-0.040024
IL6	-0.039846
RASGRP2	0.039637
ANXA10	-0.039619
TXNIP	0.039488
GCHFR	0.038635
KCNN4	-0.038618
EGR3	-0.038344
SPRY2	-0.038221
C1QTNF7	0.037567
HAS2	-0.037421
FOXO1	0.037416
GPM6B	0.037334
CITED2	0.037064
AADAC	-0.036999
MICALCL	-0.036981
RRAD	-0.036812
TRIB1	-0.036640
CD274	-0.036587
CALB2	-0.036460
MMP3	-0.036346
RSPO1	0.036331
KRT18P55	-0.036315
SPHK1	-0.036273
GEM	-0.036217
GZMK	-0.036070
ADRA1B	0.036050
SUSD2	0.036005
PTHLH	-0.035928
TMEM88	-0.035682
APCDD1L	-0.035661
NPPB	-0.035657
SPDL1	-0.035255
WNT2	-0.035176
AXIN2	0.035160
FZD5	0.035144
ISLR2	-0.035038
OLFM2	-0.035034
CILP	0.034910
IFI44L	0.034835
NRG1	-0.034620
SPINT2	0.034583
VEGFA	-0.034560
MT1JP	0.034503
LINC00161	-0.034502
TRPC6	0.034465
FASLG	-0.034315
MSX1	-0.033967
TCF7	-0.033595
PNMT	0.033505
STC2	0.033441
SLC40A1	0.033407
CCIN	-0.033265
SOX9	-0.033227
CSRNP1	-0.033197
LRRC8C	-0.032880
HTR2A	-0.032866
B3GALT2	0.032407
POM121L9P	0.032375
CADPS2	0.032145
CDKN1C	0.032091
GPC4	0.032003
KCNG1	-0.031967
OMD	0.031963
LOC728392	-0.031872
KRT18	-0.031711
KCNK6	0.031710
CRABP2	-0.031598
NRXN3	0.031488
LINC00302	-0.031386
TMEM100	-0.031348
PRSS35	-0.031262
PLA2G4A	-0.031256
NCF2	-0.031242
BDKRB2	-0.031058
SORT1	0.030971
SCN7A	0.030967
FST	-0.030929
SLC7A8	0.030924
ARSK	0.030839
CD3EAP	-0.030672
SOX4	-0.030663
NGF	-0.030658
BMP4	0.030608
CRYAB	0.030603
CYP39A1	0.030572
GCNT1	0.030488
CLCF1	-0.030475
B3GALT4	0.030423
CLDN4	-0.030404
STK38L	-0.030228
MCTP1	0.030130
SOST	-0.030106
HHEX	0.030066
FRMD5	-0.030017
CNIH3	-0.029968
COL8A1	0.029942
HNRNPR	-0.029930
PDK4	0.029924
FLJ45248	-0.029897
ALCAM	0.029888
RGMB	-0.029865
TAGLN3	-0.029853
ADM	0.029752
EGR4	-0.029651
HSPA2	0.029603
ERP27	0.029580
PNP	-0.029535
HEY1	-0.029463
IL6R	0.029167
PAG1	-0.029136
ARSI	-0.028903
SERPINB2	-0.028872
CCL11	-0.028789
DUSP6	-0.028696
FAM105A	0.028643
KLHDC7B	-0.028620
CEBPD	0.028612
ADAMTS5	0.028511
ZNF365	-0.028504
GALNT15	0.028486
FMO3	0.028471
LDB2	-0.028442
KLF10	-0.028439
SORBS2	0.028247
PLAG1	0.028147
CXCL12	-0.028118
GDF10	-0.028088
BDH1	0.027985
ARHGEF26	0.027941
JUN	-0.027927
FBN2	0.027912
BNC1	-0.027799
USP53	0.027764
FGD4	0.027746
MMP15	0.027723
GMPR	0.027714
CDKN2B	-0.027700
TSPAN13	-0.027613
ANGPTL2	-0.027519
SSR4P1	0.027441
AOX1	0.027367
PRPS1L1	-0.027317
IL13RA2	-0.027303
LINC00643	-0.027302
HES1	-0.027282
COL11A1	0.027275
PPME1	0.027233
ITGA2	-0.027161
LRRC32	-0.027134
AQP3	-0.027115
FAM46A	-0.027046
PLK3	-0.027033
