!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Heart
!perturbation	Dexamethasone
!disease	5 d - 1 mg/kg
!end_metadata
GAL	0.132691
COL15A1	-0.116423
ATF3	-0.104169
COL3A1	-0.099727
MFAP4	-0.095516
CCL13	-0.092584
LUM	-0.092310
ASPN	-0.084105
POSTN	-0.079624
S100A8	0.079027
S100A9	0.075607
LCN2	0.074287
ALOX15	0.071018
HMGCS2	0.070504
C2CD4B	0.069685
COL1A1	-0.069287
MYH7	0.068759
COL1A2	-0.066800
APLNR	-0.066174
RNASE1	0.065937
IGSF10	-0.065887
FAM111A	0.064747
ANGPTL1	-0.063771
RETSAT	0.062661
FKBP5	0.060175
LOXL1	-0.059156
MYL7	0.057571
CD163	0.057368
GAS7	0.056249
G0S2	0.055989
PXDN	-0.055843
COL6A3	-0.055015
MFAP5	-0.054153
GIMAP4	-0.053792
CPA6	0.053727
TINAGL1	0.052982
RYR3	0.052318
BDH1	-0.052121
GBP2	-0.051757
RHOBTB1	0.051615
METTL20	0.051607
MARCKSL1	-0.051583
GPD1	0.051581
DPT	-0.051394
ALB	0.050855
C15orf60	0.050212
FBN1	-0.050037
IFI44L	-0.049669
MATN2	-0.049663
SLPI	0.049386
COL5A3	-0.049098
SOX7	-0.047819
NID2	-0.047631
QSOX1	0.047522
CCL5	-0.047437
SCTR	-0.047418
ITGBL1	-0.046927
HBEGF	-0.046041
MYL1	0.045930
CCND1	-0.045845
TBX5	0.045797
IL1R2	0.045095
ACER2	0.045015
TMEM108	0.044440
FAM46B	0.044420
SLC22A3	0.044215
DRAP1	0.044083
CFD	0.044070
CCDC80	-0.043880
PLXND1	-0.043794
SCN4B	-0.043532
CSDC2	0.043521
TMEM252	0.043321
CPED1	0.043307
LYVE1	0.043083
OLFML3	-0.042845
ADM	0.042678
RTP4	-0.042626
H19	0.042063
EZR	0.041426
ISLR	-0.041370
PSMB9	-0.041273
NR4A3	-0.040860
MAOA	-0.040776
INHBB	0.040572
TGFB3	-0.040184
PTGDS	0.039852
EMCN	-0.039562
FAM107A	0.039340
DDIT4	0.039177
IVNS1ABP	0.038732
KLHL40	-0.038377
KCNJ5	0.038340
COL14A1	-0.037742
LTBP4	-0.037635
PPIC	-0.037509
AREG	-0.037434
BCL6B	-0.037357
LGALS3BP	-0.037326
CXCL12	-0.037210
F3	0.037176
FMO3	0.037049
ADAMTS5	0.037013
ANGPT1	0.036868
PHYHD1	0.036855
MAOB	-0.036698
IL2RG	-0.036615
IFI44	-0.036471
PLCB1	-0.036028
CRYL1	0.035864
EFEMP1	-0.035826
SERPINE2	-0.035541
PCDH17	-0.035344
TCEAL5	0.035330
OAF	-0.035307
PVR	-0.035241
SERPINB9	-0.035165
FAM117B	0.035118
OAS1	0.035105
IRX2	0.035071
CCND2	-0.035024
FOSB	-0.034933
LRG1	0.034925
C1QTNF7	-0.034872
GSTM5	0.034855
COL6A2	-0.034722
GPM6B	-0.034690
C1QB	0.034524
MCAM	-0.034462
SLC3A2	0.034447
TUBB4B	-0.034209
ARL15	-0.033815
HERC6	-0.033762
TRIL	-0.033741
KDELR3	-0.033566
