!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Whole lung
!perturbation	Dexamethasone 
!disease	1ug/g
!end_metadata
BPIFA1	0.062736
DDX3Y	-0.060757
INMT	0.059821
CST8	0.058072
FAM64A	-0.056644
HLA-DRB5	-0.054808
SHISA3	-0.054461
PRSS35	-0.054004
P2RY14	-0.053430
HLA-DQB1	-0.052424
OLFM4	0.051236
PBK	-0.050840
MDK	-0.050825
PON1	0.050275
HLA-DQA1	-0.050022
KIF20A	-0.048879
CPXM1	-0.048734
HEMGN	0.048359
CKMT2	0.047262
CD74	-0.047204
CA1	0.047121
PRC1	-0.046798
PLCXD3	-0.046284
MMP8	0.045850
CTSE	0.045702
GDPD2	0.045614
C11orf87	0.045395
MELK	-0.045123
FBN2	-0.045014
TECRL	0.044917
GAS2L3	-0.044866
FMO3	0.044045
CD177	0.043796
NUF2	-0.043695
MMP9	0.042980
PDGFRL	-0.042978
SPRR1A	0.042573
UNC80	0.042370
GJB6	0.042182
IGFBP2	-0.041782
NR1D1	0.041763
HTRA1	-0.041715
STIL	-0.041567
RHAG	0.041421
ASPRV1	0.041342
CDCA8	-0.040322
BIRC5	-0.040285
AOC3	-0.040234
PPP1R1B	0.040218
NCAPG	-0.039966
MEGF10	-0.039780
TRIM10	0.039400
LTBP2	-0.039341
PLA1A	0.039297
CENPE	-0.039215
CD3D	-0.038514
SLITRK6	-0.038393
PADI4	0.038299
IL1B	0.037965
SGOL2	-0.037869
FABP12	0.037822
CD248	-0.037802
COX6A2	0.037759
LOXL2	-0.037699
DEPDC1	-0.037638
TSPO2	0.037470
E2F7	-0.037450
SLC30A2	0.037434
WISP1	-0.037351
LANCL3	-0.037310
AREG	0.036293
SPINK5	0.036077
F13A1	0.035977
CLDN23	0.035860
NNMT	-0.035858
CKAP2	-0.035765
CDK1	-0.035678
ASPA	0.035439
TTC36	0.035429
TIMP4	0.035291
HMCN1	-0.035272
TMEM26	-0.035260
SHCBP1	-0.035155
APLNR	-0.035148
PAPPA2	-0.035069
IL1R2	0.034993
THBS2	-0.034736
ACTG2	-0.034711
PLK1	-0.034675
CENPF	-0.034666
ERMAP	0.034545
FAP	-0.034524
LRRC15	-0.034481
GSG2	-0.034365
KNTC1	-0.034363
TK1	-0.034267
FXYD4	0.034106
LTF	0.033934
CACNB3	-0.033718
PRMT8	0.033671
A2M	-0.033516
CENPP	-0.033505
GPX3	0.033391
IGFBP6	0.033379
PGLYRP1	0.033149
ADAM12	-0.033036
NCAPG2	-0.032957
AURKB	-0.032881
RAD51	-0.032872
CAMP	0.032800
TNC	-0.032714
BUB1	-0.032563
ENPP1	-0.032314
OSM	0.032244
KIF11	-0.032206
ADAMDEC1	-0.032197
HEPH	-0.032123
CCDC80	-0.032097
FREM1	-0.032029
SCN7A	-0.031842
RNF152	-0.031780
ITGA1	-0.031609
NAALAD2	-0.031575
TGFBI	-0.031565
PROKR2	-0.031426
KIF22	-0.031409
PCP4	0.031378
SGOL1	-0.031345
AARD	-0.031192
CCNE2	-0.030980
TMEM117	0.030786
CCNA2	-0.030662
CXCL3	0.030652
WNT5A	-0.030652
TCAP	0.030632
CKS2	-0.030620
CDCA5	-0.030584
ANLN	-0.030514
CXCR6	-0.030457
ARHGAP11A	-0.030393
KCNJ13	0.030375
GALNT13	0.030357
TM7SF2	0.030256
NDC80	-0.030244
CDC6	-0.030135
GJA4	-0.030072
IL7R	-0.030061
RASD2	0.029987
CLDN4	0.029971
VASH2	-0.029962
TTK	-0.029960
PODXL2	-0.029769
CEP55	-0.029712
FILIP1L	-0.029665
FPR2	0.029646
OLFML2B	-0.029524
ARG2	0.029472
COX7A1	0.029459
CDC20	-0.029458
CDR2	0.029401
SCRG1	0.029375
STMN4	0.029306
RASGRP3	-0.029287
ECT2	-0.029241
ACOXL	-0.029229
FBXO5	-0.029078
ITIH5	-0.028982
CASC5	-0.028898
IQGAP3	-0.028893
PNPO	0.028889
PROM1	-0.028881
KRT79	0.028811
GPM6A	0.028771
CYP3A7	0.028724
KCNK1	0.028647
SMCO3	-0.028576
TTC9	0.028556
MARK1	-0.028297
OVOS2	0.028179
ADSSL1	0.028078
CYP1A1	-0.028037
CENPI	-0.028018
TREM1	0.027998
LRAT	0.027934
PARM1	-0.027933
ARHGAP20	-0.027890
TAGLN	-0.027845
SMOC2	0.027790
POLE	-0.027676
GRIA1	0.027621
SLC25A34	0.027591
SRPX	-0.027568
LPAR3	0.027492
PLA2G7	0.027468
CHIA	0.027432
CLEC4D	0.027421
ESPL1	-0.027410
LYPD6B	0.027406
HOXB5	-0.027348
SNAI2	-0.027347
SLC25A18	0.027327
TGFB2	-0.027302
TACSTD2	0.027222
TMEM139	0.027184
FIBIN	-0.027068
BLVRB	0.027009
SLC6A15	0.026949
PLEKHB1	0.026797
KIF18B	-0.026730
TMCC2	0.026626
CD244	0.026601
CXCL13	-0.026597
RACGAP1	-0.026587
IGFBP4	-0.026563
LUM	-0.026546
F2RL1	0.026541
P4HA3	-0.026535
CCNB1	-0.026520
GPR64	-0.026508
CD5L	0.026431
MEX3B	-0.026425
ADM	-0.026424
SLPI	0.026285
RIPPLY3	-0.026204
SCN3B	-0.026161
CHGB	0.026112
C11orf82	-0.026085
PLK4	-0.026077
HLF	-0.026076
AMPD3	0.026063
PCDH18	-0.026061
NEURL1B	-0.026058
KRT15	0.026045
CDH2	-0.025930
TMEM2	-0.025911
FGFBP1	0.025903
TOP2A	-0.025862
CDKN2C	-0.025825
BORA	-0.025790
TPD52L1	-0.025738
SAMD14	-0.025711
HOXB6	-0.025686
LRRC73	0.025676
FMOD	-0.025631
KEL	0.025604
RRM2	-0.025546
FIGF	-0.025524
TENM4	-0.025514
PDGFRB	-0.025489
ASPM	-0.025476
SPTA1	0.025468
NCAPH	-0.025463
ITGAX	-0.025427
EFS	-0.025390
CD300LB	0.025345
UBE2T	-0.025308
ARG1	-0.025259
DPT	-0.025181
ADAMTS4	-0.025177
NEIL3	-0.025176
ASPN	-0.025143
KCNJ10	0.025090
NRN1	0.025084
CDKN3	-0.025071
GIMAP1	-0.025063
GNMT	0.025031
TMEM62	0.024991
SPC25	-0.024976
COL5A1	-0.024927
SLC47A1	0.024914
PDE5A	-0.024904
RAB3C	0.024882
APBB1	0.024867
GZMA	0.024830
FAM83D	-0.024684
FAM110D	-0.024657
CKS1B	-0.024622
CCNB2	-0.024579
ELMOD1	0.024570
SLC5A3	-0.024565
NCAPD2	-0.024460
GJC1	-0.024428
PALMD	-0.024360
RAD51AP1	-0.024336
DPEP1	0.024327
MS4A8	0.024323
HLX	-0.024285
CSPG4	-0.024267
ZWILCH	-0.024245
LY6H	0.024185
SPAG5	-0.024142
CD3G	-0.024134
ADAMTS7	-0.024126
C1QTNF3	-0.024121
REEP6	0.024032
SLC25A37	0.024004
IGFBP3	0.023993
EMILIN2	0.023929
NEGR1	-0.023927
LRTM2	0.023915
TMEM213	0.023905
SNTG2	-0.023901
DBP	0.023869
LRRN4	0.023860
MAPK10	0.023815
SCGB3A1	0.023808
RIPK3	-0.023783
ELOVL2	0.023757
CHODL	0.023756
TIE1	-0.023726
DEPDC1B	-0.023650
NEUROD1	0.023612
TXNRD2	0.023592
GDA	0.023558
OPCML	-0.023547
KLF15	0.023529
MS4A1	-0.023525
CD34	-0.023478
SLIT2	-0.023469
PIEZO2	-0.023452
SLFN12L	0.023431
C4orf46	-0.023422
MTFR2	-0.023394
CXCL17	0.023384
ITIH2	0.023355
C1QTNF7	-0.023303
NXPE4	-0.023293
CKAP2L	-0.023234
CDO1	0.023206
GPR124	-0.023202
ZC3HAV1L	-0.023198
ADAMTSL4	0.023194
SCARA3	-0.023180
UHRF1	-0.023161
MKI67	-0.023121
RRAD	-0.023093
PIP5K1B	0.023088
CALCB	0.023083
CENPA	-0.023078
CYP2B6	0.023021
CHRNB1	0.022998
S100G	0.022995
MLC1	0.022965
ZIC1	0.022899
PTGER2	-0.022877
COL1A1	-0.022875
GPR126	-0.022836
KLF1	0.022809
IFIT1B	0.022766
FKBP10	-0.022761
TRIP13	-0.022706
PRSS12	-0.022697
MYL9	-0.022695
SLC6A4	0.022679
MARCO	0.022641
BAIAP2L1	0.022608
CLDN10	0.022591
CXCL14	0.022535
SPIB	-0.022488
COL5A2	-0.022462
ARHGEF37	0.022456
MYOZ2	0.022456
PRAM1	0.022451
KIF4A	-0.022417
HIST1H3C	0.022376
AQP4	0.022355
CLEC4E	0.022320
CIDEA	0.022294
CCDC3	-0.022271
PTPRR	0.022264
COX4I2	-0.022237
C15orf26	0.022213
EZH2	-0.022135
FAM195A	0.022047
WIPF3	0.022043
PCDH17	-0.022027
COL3A1	-0.022007
MCM4	-0.021947
CLSPN	-0.021932
MBP	0.021917
NCF4	0.021879
PRDM6	-0.021865
POSTN	-0.021858
KCP	-0.021816
FST	0.021768
CENPN	-0.021736
C4orf19	0.021730
MEF2C	-0.021697
SELL	0.021690
TSPYL4	0.021638
HIST1H3G	0.021634
COL1A2	-0.021609
RAB33A	0.021598
C19orf59	0.021587
LMCD1	-0.021583
PTGIR	-0.021560
UNC5C	-0.021559
SMTN	-0.021558
C10orf35	0.021492
MEST	-0.021484
DHRS11	0.021472
SLC13A4	0.021449
DFNA5	0.021432
MYL1	0.021429
SMPX	0.021425
DLK1	-0.021422
CSF3R	0.021416
PPP1R1A	0.021395
THNSL1	0.021340
LILRB3	0.021336
TBX2	-0.021336
KCNB1	-0.021315
IL1RL2	-0.021292
PAQR9	0.021289
FBLN2	-0.021123
LPPR4	0.021115
GNG3	0.021107
PRCP	-0.021089
ALDH1L1	0.021071
GALNT16	-0.021065
LOC728392	-0.021033
BTLA	-0.020999
IGSF5	0.020994
FSTL1	-0.020993
ART4	0.020976
GABRA4	0.020919
C8orf4	-0.020911
ETS1	-0.020879
GYPC	-0.020878
FAM220A	0.020869
IGF1	-0.020837
CHTF18	-0.020829
CAMSAP3	0.020829
PASK	-0.020802
FAM167B	-0.020778
CRISPLD2	0.020776
TMEM178A	-0.020737
ZNF423	-0.020693
RASGEF1B	0.020691
CENPM	-0.020668
EPHA3	0.020652
EGFLAM	-0.020641
KIAA0101	-0.020640
GOT1	0.020615
LRRC26	0.020573
TNNT2	0.020532
INSM1	0.020532
ADH1C	-0.020530
RELN	0.020527
KIAA1161	0.020514
SLC37A1	0.020495
EXT1	-0.020485
DKK3	-0.020473
ASNS	0.020435
FBLN1	-0.020424
H2AFX	-0.020398
MAD2L1	-0.020397
BRIP1	-0.020386
NCF1	0.020322
CCR1	0.020293
DSE	-0.020282
DCHS1	-0.020256
KIAA1522	0.020254
HMMR	-0.020227
EMCN	-0.020209
PLXND1	-0.020209
IDI1	0.020190
LHFPL2	-0.020188
KCNK2	0.020178
SYBU	0.020135
EFHD1	0.020133
PIK3IP1	-0.020127
TMEM184A	0.020107
UNC5B	-0.020100
CXCR2	0.020091
MYH7	0.020082
DSN1	-0.020079
ST8SIA2	-0.020075
PPM1L	0.020065
SPC24	-0.020044
SKA3	-0.020017
MKX	-0.020000
BUB1B	-0.019996
L3HYPDH	-0.019966
ITGAM	0.019955
SLC10A6	0.019951
WISP2	0.019929
ACTR3B	0.019924
GSTA3	0.019914
SCG2	0.019910
ISLR	-0.019890
BLM	-0.019873
TSPAN11	0.019870
EEF1A2	0.019835
MYZAP	-0.019815
KCNIP4	0.019787
LDHB	0.019756
NFE2	0.019756
TBX4	-0.019756
MYOCD	-0.019752
