!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Whole cerebellum
!perturbation	Dexamethasone 
!disease	1ug/g
!end_metadata
FAM107A	0.099971
SPP1	-0.084854
SCUBE2	-0.075682
S100A8	-0.064422
TMEM87A	0.063783
CHAC1	0.062197
TXNIP	-0.062099
HOXB5	-0.060415
MYBPC1	0.056437
ITIH3	0.056270
S100A9	-0.055797
GABRA6	0.055393
APLNR	-0.055021
CLEC7A	-0.048859
HOXC4	-0.048096
HK2	0.047875
TEK	-0.047669
ARRDC4	-0.046102
PDK4	-0.045466
MRO	-0.045439
MID1	-0.045163
KLF11	-0.044927
CAP1	0.044699
SLC38A5	-0.044388
SLC6A4	0.044126
COL1A1	-0.043964
SCRG1	0.043893
COL3A1	-0.043759
COL2A1	-0.043416
KIFC1	-0.042947
SLC40A1	-0.042850
PLA2G3	0.042803
HIST1H3C	0.042773
CD68	-0.042399
MPEG1	-0.042170
ALDH1A1	0.042044
HOXA5	-0.040624
PVALB	0.040476
MAL	0.040396
RIPPLY3	-0.039871
HOXB3	-0.039857
ARRDC3	-0.039570
LY86	-0.039372
AGT	0.039072
GPR34	-0.038949
UNC45B	-0.038660
KLF10	-0.038452
GABRA2	0.038450
RBM45	0.038112
IQCB1	0.037679
SPRY3	0.037500
COL5A2	-0.036779
JAKMIP3	0.036196
NPTX1	0.036039
CRABP1	-0.035735
HMOX1	-0.035727
GABRA5	-0.035662
CRH	-0.035044
KCTD21	0.034987
SLC6A3	0.034404
TAF3	0.034363
ZNF354B	0.034296
HOXB6	-0.034225
NTSR2	0.034155
LIG4	0.034119
ERMN	0.033919
ZFYVE28	0.033910
LCAT	0.033833
SENP8	0.033736
PTCHD4	0.033476
TGFBI	-0.033400
MYH7B	0.033359
ZNF3	0.033300
S100A10	-0.033253
MTHFD2	0.033150
ZNF583	0.032720
GSTM5	0.032698
PPIC	-0.032528
MDGA1	-0.032361
COL11A1	-0.032279
ZNF563	0.032276
PRDM15	0.032274
GABRA1	0.032203
ADH1C	-0.032091
TCFL5	-0.032048
GPRC5B	0.031961
DCUN1D2	0.031677
GPR75	0.031621
CELSR1	-0.031315
DDX3Y	-0.031298
TYW3	0.031194
PPRC1	0.031107
CLDN5	-0.030922
WDFY1	0.030787
GPR17	0.030711
TYROBP	-0.030710
ZMYM1	0.030626
MOBP	0.030558
CLEC14A	-0.030462
ECSCR	-0.030340
NAALAD2	-0.030326
ZNF790	0.030322
TPPP	0.030309
CPNE1	0.030252
MATN4	0.030104
FLI1	-0.030026
FOXQ1	-0.029972
UNCX	0.029968
ZNF503	-0.029952
ZSWIM3	0.029754
DEPDC7	0.029733
SLC25A34	0.029658
LAMP5	-0.029596
TRHDE	0.029581
GEMIN4	0.029432
ZSCAN22	0.029412
SNCG	-0.029396
CYP4V2	0.029276
CRHR1	0.029097
RLBP1	-0.029068
SHOX2	0.028752
CCDC122	-0.028650
PTF1A	-0.028375
MYOC	-0.028345
PGM5	-0.028301
SENP7	0.028282
S100G	0.028268
KIAA1456	0.028036
FN1	-0.028020
KDELR3	-0.027955
LGALS3	-0.027893
CYP4F8	0.027813
LIMD1	-0.027675
MOG	0.027631
DMP1	-0.027518
HES5	0.027500
NID2	-0.027485
BBS5	0.027460
EXO1	0.027443
MYZAP	-0.027434
ANG	-0.027345
APCDD1	-0.027278
OLFML3	-0.027261
ZNF585A	0.027247
C2orf72	-0.027235
THEM4	-0.027206
ZNF23	0.027161
LGALS9B	-0.027108
KLHL42	0.027059
PTPLAD2	-0.027023
PHOX2B	-0.026986
GPR137B	-0.026968
BZRAP1	0.026954
TPH2	0.026953
LRIF1	0.026882
LAMA2	-0.026739
WFDC2	-0.026695
AMER3	0.026587
S1PR5	0.026573
BICC1	-0.026441
SIMC1	0.026398
BTBD3	0.026345
TIE1	-0.026335
TH	0.026282
BTAF1	0.026201
PARP12	-0.026190
NCKAP5	-0.026176
SCARA3	-0.026148
LTF	-0.026142
ICAM1	-0.026138
NT5DC1	-0.026027
RGS8	0.026024
FLVCR2	-0.025999
LRRTM3	0.025968
PRSS35	-0.025929
ITGA8	-0.025903
ZUFSP	0.025759
SUOX	0.025754
CLK1	0.025682
SFT2D3	-0.025678
CHORDC1	0.025670
PKIB	0.025632
HMCN1	-0.025624
GFAP	-0.025615
ABCB1	-0.025590
MLX	0.025576
FAM207A	0.025502
QSOX2	0.025450
CBLN3	0.025438
CC2D2A	0.025422
RASGRP3	-0.025409
RGS7BP	0.025378
SOX17	-0.025355
TMEM123	-0.025301
IGFBP4	-0.025273
SPDL1	0.025255
RASA3	0.025223
KCNG4	0.025212
IL1RAPL1	0.025198
PLAC8	-0.025162
SLC39A8	-0.025154
CLEC3B	0.025134
VEGFC	0.025133
CIRBP	-0.025084
GALNT7	0.025007
LIN7A	0.024967
HAPLN4	0.024961
EPS8	0.024938
GDPGP1	0.024931
SP2	-0.024929
KBTBD8	0.024900
TTC8	0.024886
RGS5	-0.024852
RASA2	0.024833
COL15A1	-0.024789
GGA3	0.024782
MOXD1	-0.024694
CTSH	-0.024642
FKBP10	-0.024608
TTC21B	0.024567
POSTN	-0.024532
PRND	-0.024517
CDH5	-0.024483
TNC	-0.024451
OTX2	-0.024340
TFAP2D	0.024313
RPS6	-0.024244
CSRP1	0.024136
ITGA1	-0.024128
FRRS1L	0.024077
TMEM181	0.024057
COL6A3	-0.024057
SHE	-0.024021
AGTR1	0.023972
ALDOC	0.023946
GBP2	-0.023942
NEIL3	-0.023930
SMAGP	-0.023892
ZNF322	0.023891
LPL	-0.023879
MCTP1	0.023869
ARMCX5	-0.023865
RBM20	0.023822
FGF1	0.023759
THAP2	0.023756
ESAM	-0.023704
EMP1	-0.023670
RIPPLY2	-0.023641
KCNA5	0.023620
STEAP1	-0.023521
TRAF3IP2	0.023421
SST	-0.023404
VAT1L	0.023375
FILIP1L	-0.023371
FEM1B	-0.023366
CRTAP	-0.023305
GLIS3	-0.023294
LYZ	-0.023271
PLEKHO2	0.023264
PLEK	-0.023263
FASTKD5	0.023255
RNF112	0.023246
CTSK	-0.023169
FBXO28	0.023116
TRIM25	-0.023108
ACSBG1	0.023099
FOXA1	0.023081
