!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Kidney
!perturbation	Dexamethasone
!disease	300 mg/kg - 1 d
!end_metadata
PNLIPRP2	0.124098
PAMR1	-0.088927
SHISA3	0.088396
GSTM1	0.087810
ADH1C	0.086255
GSTM5	0.081308
CYP27B1	0.074641
FAM84A	0.074156
FKBP5	0.073346
RGN	-0.072395
THRSP	0.072249
ALB	-0.072018
S100G	0.068456
SNCA	-0.068311
KMO	-0.067887
LOX	0.066993
RAVER2	0.065031
BHMT	0.064943
FTCD	0.064046
EIF4EBP3	0.063533
SLC25A25	0.063077
CDKN1A	0.062523
FAM46B	0.062495
COCH	0.062067
MMP9	-0.059532
LAMA1	0.059158
TSHR	0.058721
FIBIN	0.057852
SERPINB9	-0.057665
IL33	-0.057452
ANGPTL4	0.057256
CEACAM1	0.057014
GAS2	-0.056414
SULT1B1	0.055894
TINAGL1	0.055359
GBP2	-0.054179
RDH16	-0.053980
IGFBP1	0.052588
SCARA5	0.052408
ATP1B2	0.052013
HAO1	-0.051222
CXCL12	-0.050821
DMBT1	0.050651
RASD1	0.049943
LCN2	0.049857
HYAL3	0.049715
MRC1	0.049608
PSMB9	-0.048675
ADAMTSL2	0.048538
AKR1B10	-0.048355
CORO1A	-0.048301
ETV1	-0.048053
TNFRSF11B	-0.047738
FAM111A	0.047582
ETNK2	0.047542
PLA1A	0.047414
SPO11	-0.047268
NME7	-0.047213
AADAC	-0.046747
CDKN3	-0.046745
CLEC14A	0.046571
DPT	-0.046357
DUSP15	-0.046078
DDIT4	0.045814
PEX11A	0.045810
CRYGA	-0.045804
GADD45G	0.045758
GEM	0.045574
PRLR	-0.045129
ESYT3	0.044361
DBP	-0.044003
CYTL1	0.043750
GADD45B	0.043620
RSAD2	-0.043437
HACL1	0.043375
POR	0.043275
DUSP1	0.042952
MAFF	0.042783
PSTPIP1	0.042681
GPM6A	-0.042465
CNDP1	-0.042293
CRISPLD2	0.041953
PTER	-0.041929
RAB32	-0.041627
NR4A1	0.041626
CPED1	0.041560
TRIL	-0.041436
C3	-0.041148
SLC10A1	-0.041147
MFAP4	-0.041118
RESP18	-0.041030
STEAP4	0.041027
