!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Kidney
!perturbation	Dexamethasone
!disease	300 mg/kg - 3 d
!end_metadata
PNLIPRP2	0.165440
SHISA3	0.134877
PAMR1	-0.089191
ADH1C	0.088635
CXCL13	0.087610
FKBP5	0.087015
HMGCS2	0.085561
S100A9	0.083223
FTCD	0.080511
FAM46B	0.080101
EGR1	-0.077130
EIF4EBP3	0.075382
CXCL2	0.074449
RGN	-0.072232
GSTM1	0.071951
PSTPIP1	0.071384
CYP27B1	0.070201
HACL1	0.070085
S100A8	0.069408
PCDH9	-0.068548
FAM84A	0.066842
LAMA1	0.064852
COL1A1	-0.064079
SNCA	-0.064023
IGFBP1	0.063985
DPT	-0.062922
CCL13	-0.060988
VNN1	0.060499
PRLR	-0.060251
COCH	0.059668
CD74	-0.059561
LCN2	0.058829
COL3A1	-0.057151
CDKN3	-0.055854
LOX	0.055460
BHMT	0.054720
ANGPTL4	0.054075
RDH16	-0.053023
TOR1B	0.052493
CXCL12	-0.052472
COL1A2	-0.052297
FOXQ1	0.052196
SPTA1	-0.051887
PLA1A	0.051791
TRIL	-0.051558
MELK	-0.051171
AADAC	-0.050365
MKI67	-0.049348
CDK1	-0.049038
TMEM252	0.048667
CD83	-0.048667
CCND1	-0.047875
CLEC14A	0.047805
ALB	-0.047745
CCNB2	-0.046732
ETNK2	0.046241
VWF	0.046032
TINAGL1	0.045844
POR	0.045745
CNDP1	-0.045638
GSTM5	0.045577
RRM2	-0.045211
ECT2	-0.044799
GRHL1	0.043971
RAVER2	0.043777
GBP2	-0.043253
PEX11A	0.043237
ASGR2	-0.042686
PRC1	-0.042552
RSAD2	-0.042374
APOH	0.042079
CDKN1A	0.042067
TRAK1	0.042012
PPP1R3C	0.042000
CEACAM1	0.041842
MAFF	0.041729
ALAS1	0.041711
MRC1	0.041510
GNMT	0.041410
PDLIM4	0.041219
SIGLEC8	0.041160
C5	-0.041059
MEP1A	-0.040855
STEAP4	0.040447
FGF13	-0.040423
TSHR	0.040350
MAP1B	0.040346
GFRA4	0.040222
PI4K2B	0.040035
ATF3	-0.039939
CKS2	-0.039892
C1QTNF3	-0.039795
MMP9	-0.039664
SPC25	-0.039363
NOX4	-0.038728
APCS	-0.038614
COL15A1	-0.038597
CSRP2	0.038462
ZNF367	-0.038461
CDCA3	-0.038107
CCNA2	-0.038046
LGALS3BP	-0.037964
A2M	0.037940
IL33	-0.037865
CXCL10	-0.037748
MFAP4	-0.037552
GRAMD1B	0.037525
SYTL2	-0.037473
HPGD	-0.037465
ALDH1B1	-0.037179
POP1	0.037175
TBC1D1	0.037133
NPL	0.036955
MATN1	0.036617
SPO11	-0.036557
SPNS2	-0.036541
RHBDD2	0.036223
TM4SF20	-0.036174
SCEL	0.036035
ADAMTSL2	0.035840
PLA2G12A	0.035808
ELF3	0.035304
PXDN	-0.035135
SLC28A1	0.035126
SDS	0.035018
PLA2G15	0.035016
FOS	-0.034770
OLFML3	-0.034554
SULT1B1	0.034515
HYAL3	0.034396
INMT	-0.034254
UCP1	-0.034215
ETV1	-0.033978
GP2	0.033966
CA3	-0.033817
IL1RL1	0.033779
ACPL2	-0.033665
GLRX	0.033549
SLC28A2	0.033534
FHL1	0.033481
PQLC3	0.033241
ESYT3	0.033200
DIO1	-0.033194
KMO	-0.033142
GREM2	0.033016
APLNR	-0.032992
NKD2	-0.032986
MCM6	-0.032967
HMMR	-0.032963
HAO1	-0.032959
IGFBP2	-0.032913
GGCT	-0.032865
KRT19	-0.032831
ARHGAP11A	-0.032695
PHYH	0.032668
PSMB9	-0.032576
CCDC109B	0.032416
THRSP	0.032291
IL1R2	0.032290
GPR182	0.032234
RIMBP2	-0.032186
DDC	0.032137
SERPINB9	-0.032116
CDC25B	-0.032116
USP2	0.032018
ADCK5	0.031895
SLC41A3	0.031860
TOP2A	-0.031859
ASPN	-0.031846
FAM149A	-0.031839
AFAP1L2	0.031793
CD36	0.031767
LOXL1	-0.031704
SLC29A2	0.031687
SLC35D1	0.031648
PLXND1	-0.031565
DUSP6	-0.031444
WLS	0.031271
GPT2	0.031228
NDNL2	0.031170
PREP	-0.031141
RAPGEF5	0.031054
GOT1	0.030790
ME1	-0.030678
PTER	-0.030674
CENPF	-0.030593
CX3CL1	-0.030485
EGF	-0.030220
GAS2	-0.030144
NR4A1	-0.030135
CNPY1	-0.030059
IRF7	-0.030004
TNFRSF11B	-0.029971
FGL2	0.029961
C1QB	0.029935
DDIT4	0.029923
ARFGAP3	0.029785
FAIM3	-0.029743
SLC2A2	0.029706
C1QC	0.029641
NTF3	-0.029597
GSTA3	-0.029595
GSTP1	-0.029568
DHDDS	0.029536
SERPINE2	-0.029513
CPE	-0.029351
TMIGD1	-0.029126
EPO	0.029100
FDFT1	0.029032
DMBT1	0.028961
GABARAPL1	0.028956
LDHD	0.028939
PTGES	0.028918
PBK	-0.028879
RTP4	-0.028868
DNASE1	0.028853
KCTD1	0.028784
ACSM3	-0.028749
KIF20B	-0.028739
LMO2	-0.028739
CKAP2	-0.028734
ETV5	-0.028721
NAT8B	-0.028422
ASPM	-0.028388
ANGPTL2	-0.028382
BUB1	-0.028381
FADS2	-0.028341
HSD17B1	-0.028313
LSMEM2	0.028251
BGN	-0.028207
RAB32	-0.028083
CCND2	-0.027888
SLC22A13	-0.027875
IGSF10	-0.027823
ESM1	-0.027821
CLDN1	0.027748
DIO2	0.027741
STEAP1	0.027734
ANPEP	-0.027722
DNAJA4	0.027704
PHKG1	0.027658
NUSAP1	-0.027644
SELE	0.027608
LBH	-0.027568
EMID1	-0.027558
FAM111A	-0.027555
MAP3K8	0.027512
RASGRP3	-0.027469
FAM118A	0.027384
SLC25A25	0.027378
SLC51A	-0.027268
RCAN1	-0.027219
LY86	-0.027131
ADAMTSL4	0.027075
NME7	-0.027012
GUCA2B	-0.026848
LOXL2	-0.026829
C3	0.026824
FOSB	-0.026652
FADS1	-0.026501
STRA6	-0.026461
SLC22A7	0.026457
CLDN19	-0.026378
LTBP4	-0.026345
FABP1	0.026304
LPAR6	-0.026239
PROCR	0.026031
SLC23A3	0.025923
ACE	-0.025923
IRF8	-0.025903
ALOX5AP	0.025882
PIGA	0.025826
BNIP3	0.025773
CCDC80	-0.025759
MATN2	-0.025691
CWH43	0.025685
MYZAP	0.025622
LAMC3	-0.025602
WDR33	0.025535
GADD45B	0.025501
RGS1	-0.025404
PSMB8	-0.025371
CRYM	-0.025350
TFRC	0.025326
DNAJB1	0.025294
SULT1C2	-0.025265
UGGT1	0.025255
FBN1	-0.025215
LDB2	-0.025147
CCNB1	-0.025139
AKAP2	-0.025087
IYD	0.025033
ALAS2	-0.025021
MYC	0.024969
ESR1	-0.024957
KCNK1	0.024827
EGLN3	0.024820
MYLK3	-0.024801
C1QTNF2	-0.024798
LILRB4	0.024761
AREG	-0.024758
MXRA8	-0.024705
HSD17B12	0.024659
MAB21L3	0.024623
HMOX1	0.024527
SLC22A8	-0.024491
C1QTNF5	-0.024344
MAPKAPK3	0.024293
FHIT	-0.024262
GPM6A	-0.024260
KCNMB4	0.024233
SLC15A1	0.024227
GLDC	0.024198
TINAG	-0.024125
IGFBP3	0.024061
SLC39A8	-0.024003
ADA	-0.023962
PNPLA2	0.023885
GCGR	-0.023712
P2RX4	0.023687
CP	0.023652
EGR2	-0.023632
SCD	0.023621
IGSF11	-0.023587
ASGR1	0.023552
TMEM86A	-0.023499
ACOT8	0.023491
SPARC	-0.023483
SEMA3B	0.023464
ATP6V1B2	0.023429
MMP15	-0.023421
PLD1	0.023365
LPIN3	0.023332
GADD45G	0.023330
KIF18B	-0.023287
APOA4	0.023241
NOV	0.023196
SERPINB12	-0.023164
PTGS2	-0.023010
MAP3K6	0.022983
SNX7	-0.022939
TRIM59	-0.022886
PPDPF	0.022854
SEPHS1	0.022846
C1QA	0.022814
ABCC8	-0.022794
TSPO	0.022768
ADRA2A	0.022753
NLRP6	-0.022743
AHSG	-0.022726
IDNK	0.022680
SLC13A2	0.022630
BMP3	-0.022611
DDX19A	-0.022574
SLC7A13	-0.022563
FN1	-0.022526
TM4SF1	-0.022497
LGALS3	0.022489
H6PD	0.022476
ATP12A	0.022463
SEMA4B	0.022448
SLC6A6	-0.022444
CMPK2	-0.022411
IFI44	-0.022392
IFIT2	-0.022349
DFNB59	-0.022349
TPD52	0.022347
AGXT2	-0.022344
SRPX2	-0.022333
TNNC1	-0.022310
IRAK3	0.022295
AS3MT	0.022291
PCOLCE	-0.022285
TRIM24	0.022272
PTTG1	-0.022253
CYS1	0.022252
GHR	0.022232
MDFI	0.022213
STARD10	0.022210
PDPN	0.022184
LRG1	0.022182
ATP1B2	0.022170
GALK1	0.022118
PAQR6	0.022109
KIF22	-0.022069
SEC11A	0.022060
LRRC8C	0.022056
GC	-0.022026
NUCB2	0.022013
SLC22A2	-0.022000
NT5C2	0.021853
USP18	-0.021814
NRTN	0.021698
SMTN	-0.021638
ZAN	0.021592
FAM81A	-0.021566
IFI44L	-0.021457
HEY2	-0.021309
DNAJC6	-0.021305
MRPS35	0.021300
NAMPT	0.021260
CLDN3	0.021233
SOD3	0.021227
LACE1	-0.021217
OAF	-0.021208
RAD51	-0.021204
CHKA	0.021190
NXNL2	0.021183
DHCR7	0.021135
KIFC1	-0.021113
SOSTDC1	-0.021087
KPNA2	-0.021070
TTR	-0.021039
PTGES3	0.021036
S100A4	-0.021036
TMEM150C	-0.020975
HSPA12A	-0.020953
CHRD	0.020949
MPPED1	0.020907
PM20D2	0.020870
ISLR	-0.020846
MAP2K6	-0.020830
SPP2	-0.020822
SLC29A1	-0.020814
FAM20C	0.020811
CSGALNACT1	-0.020680
LPP	0.020653
HOMER2	0.020652
ALDH1A1	-0.020649
CENPJ	-0.020616
ARMCX2	-0.020594
HSD17B7	0.020572
GATSL3	0.020561
PTH2R	0.020528
BBS2	-0.020475
JUN	-0.020442
GPT	0.020421
INHBB	0.020417
SLC17A2	-0.020408
TSC22D3	0.020401
PDIA5	-0.020396
GAMT	0.020389
LURAP1L	-0.020365
PDK1	0.020322
SLC25A30	-0.020282
LGALS9B	-0.020280
BNC2	-0.020278
GYS1	0.020249
COL27A1	-0.020249
FHL2	-0.020243
GGH	0.020243
F13A1	0.020241
RARRES2	0.020238
PDE4DIP	-0.020205
SLC7A5	0.020178
SLC10A2	-0.020137
TFF3	-0.020119
NR1H3	0.020100
SLC17A3	-0.020090
EFEMP1	-0.020044
ST3GAL5	-0.020039
CLEC11A	-0.020037
NDNF	0.020030
FBLN5	-0.020012
BEND5	-0.019978
SLC10A1	-0.019962
MAP1LC3B	0.019957
ENPP4	0.019944
ACER2	0.019937
SEMA5A	-0.019923
PPP1R14C	0.019917
PLEKHB2	0.019895
PDK4	0.019833
KIF20A	-0.019771
FSTL1	-0.019766
SCNN1A	0.019724
NEK6	0.019711
COL5A1	-0.019670
CTSE	-0.019668
PFKL	0.019661
VMP1	0.019639
IGF1R	0.019579
EDEM1	0.019557
MFN1	0.019554
FKBP1B	-0.019496
EHF	0.019496
MCL1	0.019494
TCF21	-0.019466
RAMP3	0.019444
SLC27A5	0.019425
ERI2	-0.019402
ISG15	-0.019393
NXPH4	0.019380
RGCC	0.019335
FANCD2OS	0.019279
ACTR6	0.019254
METTL1	0.019252
FAM151A	-0.019207
BMP4	-0.019203
MLPH	0.019198
