!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Liver
!perturbation	Dexamethasone
!disease	1mg/kg  - 6 hrs
!end_metadata
IGFBP1	0.336708
TAT	0.241095
LARS2	0.155408
GADD45G	0.140416
PIGT	0.135806
HIST1H3C	0.127494
AKR1C4	-0.118717
HSPA5	0.116236
AMBP	-0.115994
CRELD2	0.106919
PTPLAD1	-0.106642
JUNB	0.100371
ITIH3	-0.098518
APOA5	-0.095744
HIST1H3A	0.093937
ALDH1A1	-0.093772
RGN	-0.092982
ALAS1	-0.087527
CFB	-0.084128
MRAP	0.083339
S100A9	-0.083235
IGFBP2	0.078380
GSTP1	-0.074834
NNMT	0.074629
DDIT4	0.071358
SOCS3	0.070642
AASS	0.070152
EPHX2	-0.069223
ADH1C	-0.068644
MARC1	-0.068102
SREBF1	-0.067770
BHMT	0.067706
NUDT7	-0.067693
CYB5A	-0.067401
RPL37A	-0.064860
CES3	-0.064549
EGR1	0.064418
THRSP	0.064359
GNMT	-0.064113
GPX1	-0.063117
ACAA2	-0.063089
APOH	-0.062685
UPB1	-0.062377
C5	-0.061255
HERPUD1	0.060364
ATP5G3	-0.060210
MGST1	-0.060209
GSTM5	-0.059444
PROC	-0.059180
COMT	-0.059147
CTSH	-0.057785
PECR	-0.057667
C3	-0.057564
NFKBIA	0.057192
NME2	-0.056127
NDRG2	-0.055654
MSRB1	-0.055499
FTCD	-0.054896
SELENBP1	-0.054457
SORD	-0.054288
SLC27A5	-0.054256
ETFB	-0.054205
PGM1	-0.054170
FGA	0.053196
ALB	-0.052997
LSR	-0.052875
NDUFB9	-0.052773
RPS23	-0.052163
APOF	-0.051917
AGT	0.051677
DBI	-0.051587
GDF15	0.050929
CFI	-0.050714
GLUD1	-0.050613
F2	-0.050411
AADAC	-0.049734
MARCO	-0.049611
SIRT3	-0.049462
ACOX1	-0.049047
FAU	-0.048680
SEC14L2	-0.047982
ADK	-0.047739
MARC2	-0.047389
ALDH1L1	-0.047289
RPL38	-0.047280
ST3GAL5	0.047097
PHYH	-0.046915
CYP2F1	-0.046833
RPS16	-0.046671
RPL12	-0.046562
ACOT13	-0.046426
SERPIND1	-0.046317
RBP4	-0.046276
FGB	-0.045976
FASN	-0.045953
NDUFB10	-0.045684
CD1D	-0.045343
ARG1	-0.045263
ADH5	-0.045068
GSTA3	-0.044918
PLIN2	-0.044879
NAT8	-0.044819
H2AFV	-0.044635
PYGL	-0.044378
HINT1	-0.044126
ACADVL	-0.044088
NDUFA13	-0.043869
TF	-0.043715
ASGR1	-0.043439
SEC14L4	0.043300
HP	-0.043172
PON1	-0.043113
RPS11	-0.042952
CISD1	-0.042739
DBP	-0.042367
GCGR	-0.042367
LPIN1	0.042314
ASGR2	-0.042284
FMO5	0.042267
SERPINF2	-0.042196
CXCL2	0.042117
RPLP2	-0.042102
EBP	-0.042047
JUND	0.041917
F10	-0.041664
MDH2	-0.041625
SAA2-SAA4	0.041440
ATP5C1	-0.041332
HPX	-0.041224
GOT1	0.040705
SPP1	-0.040635
C20orf24	-0.040184
ABCB11	-0.039865
TDO2	0.039802
C8A	-0.039042
FTH1	-0.038949
PCBD1	-0.038820
HSP90B1	0.038708
DUSP6	0.038228
SLC38A3	-0.037748
RPS14	-0.037739
CP	-0.037730
GLS2	-0.037617
STARD10	-0.037584
