!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HEK293 (GR3KR) cells
!perturbation	Dexamethasone
!disease	100nM - 6 hrs
!end_metadata
RASD1	0.185116
S100P	0.172053
SLC6A3	0.109294
ADAMTS1	-0.102306
PDK4	0.099065
TUBA3E	0.095069
TIPARP	0.090224
APOLD1	0.090166
TRIM51	0.088373
HSPA1A	-0.082421
TUBA3D	0.081648
RP1L1	0.077433
MYC	-0.077122
HES1	-0.073173
ARMC12	0.072213
ANKRD37	-0.070165
C10orf10	0.070087
ARRDC4	-0.068438
CEBPD	0.065729
NFKBIA	0.064809
S1PR3	0.064417
MYOM2	0.063048
BHLHE40	-0.060291
HSPA1B	-0.059965
SGK1	0.058669
SNN	0.056855
TUBA3C	0.055818
ERN1	0.055618
PHACTR3	0.055400
KCNA5	0.055152
KLHL36	0.054867
ELK1	0.053000
JUN	-0.052877
NET1	0.052848
ZNF18	0.052699
RGS16	-0.051841
HELZ2	0.051382
SOX4	-0.051148
STC1	-0.049925
LIPG	0.048941
TRIM49D2P	0.048559
CNKSR3	0.047458
PNMT	0.047236
ASB9	0.047050
FKBP5	0.046813
MEX3B	-0.045740
KLF15	0.045278
FAM104A	0.044664
NSDHL	0.044651
C1QTNF1	0.044334
KCNG1	0.043863
CDKN1C	0.043454
IRS4	-0.043207
MID1IP1	-0.042883
KLHL15	-0.042845
NR2F1	-0.042396
CHST3	0.042364
HIST2H4A	-0.042347
CST1	0.042308
INSIG1	-0.042006
CLN8	0.041978
SPEN	-0.041669
C17orf80	0.041555
TRIB1	-0.040990
HEY2	-0.040839
RAB20	0.040581
PHLDA1	0.040562
DDIT3	-0.040261
HIST2H2BE	-0.040165
TRIM49D1	0.040102
IRF2BPL	-0.040060
NEFL	-0.039776
TEX10	0.039652
HOXA6	-0.039195
KBTBD11	0.038948
POU3F2	-0.038638
HIST2H4B	-0.038608
BRD2	-0.038219
SLC25A4	0.038000
BCOR	-0.037969
FOXO4	0.037545
IER3	-0.037514
NOL3	0.037164
ITGB2	0.037112
FAM90A1	0.036922
TRIM48	0.036852
HOXA11	-0.036608
NXPE3	0.036351
GPER1	0.035903
HOXA9	-0.035679
HOXA10	-0.035385
HIST2H3A	-0.035305
HEY1	-0.035190
ZFAND5	0.035102
CTDSPL	0.034745
GAS1	-0.034634
FAM46C	-0.034585
ELL2	0.034468
KLF10	-0.034341
MYLIP	-0.034098
STMND1	-0.034067
STC2	-0.033985
SGK223	-0.033733
FOS	-0.032941
ZNF189	0.032624
EDNRA	0.032578
ID3	-0.032449
OLFML2B	0.032447
RFESD	-0.032438
SERTAD4	-0.032209
TMEM43	0.032028
DDIT4	-0.031950
ZDHHC8P1	0.031914
SCHIP1	-0.031583
ID4	-0.031487
HIST2H3D	-0.031325
HOXA5	-0.031229
KIAA0513	0.031224
TMEM87A	0.031124
S100A2	0.030829
ZBTB7C	0.030820
NMI	0.030725
PER1	0.030439
ADARB1	0.030384
HOXA11-AS	-0.030142
EIF4A3	0.030115
FAM65B	0.030032
SLC2A3	0.029881
NTF3	0.029835
SKIDA1	-0.029480
HOXB8	-0.029397
TSC22D3	0.029358
HMGCS1	-0.029184
ADAMTS8	0.029149
HSPA1L	-0.029000
GADD45A	-0.028851
SLC41A1	0.028845
RASGRP1	0.028707
HSPA6	-0.028663
SWT1	0.028600
FAM189A2	0.028556
ZPR1	0.028535
SOX2	-0.028447
TNFRSF12A	-0.028437
PIM2	-0.028401
SOX7	0.028344
SIX1	-0.028332
BIRC3	0.028245
FBXO32	0.028232
SOX18	0.028206
AMOT	-0.028162
CAMK1G	0.028075
FGF18	0.027988
ASB7	0.027982
PMAIP1	-0.027978
PGC	0.027969
GSTM3	0.027787
FBRSL1	0.027654
CDC42EP4	0.027585
FGF9	-0.027453
BBS12	0.027348
ZNF503	-0.027318
HMOX1	-0.027295
CFAP20	0.027286
MTNR1A	0.027260
SLC9A2	0.027173
