id,cell_type,ctrl_ids,drug_name,geo_id,organism,pert_ids,platform,version
drug:P908,"Cultured Cell Line|Cells|Tumor cells, malignant",GSM1230586|GSM1230587|GSM1230588,eribulin|paclitaxel,GSE50830,human,GSM1230598|GSM1230599|GSM1230600,GPL570,2.0
drug:P3304,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672087|GSM1672091|GSM1672128,GPL10558,2.0
drug:P3305,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672105|GSM1672118|GSM1672132,GPL10558,2.0
drug:P3003,Squamous epithelial cell|Cultured Cell Line|Cells|Cells [Chemical/Ingredient],GSM1624786|GSM1624787,cisplatin|platinum|N(6)-(1-carboxyethyl)-L-lysine,GSE66549,human,GSM1624800|GSM1624801,GPL6244,2.0
drug:P3306,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672108|GSM1672113|GSM1672133,GPL10558,2.0
drug:P3002,Squamous epithelial cell|Cultured Cell Line|Cells|Cells [Chemical/Ingredient],GSM1624786|GSM1624787,cisplatin|platinum|N(6)-(1-carboxyethyl)-L-lysine,GSE66549,human,GSM1624796|GSM1624797,GPL6244,2.0
drug:P5368,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Cells [Chemical/Ingredient],GSM824443|GSM824444,inhibitor|ligand,GSE33340,human,GSM824447|GSM824448,GPL6883,2.0
drug:P5369,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Cells [Chemical/Ingredient],GSM824443|GSM824444,inhibitor|ligand,GSE33340,human,GSM824451|GSM824452,GPL6883,2.0
drug:P3307,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672109|GSM1672123|GSM1672130,GPL10558,2.0
drug:P909,"Cultured Cell Line|Cells|Tumor cells, malignant",GSM1230586|GSM1230587|GSM1230588,paclitaxel|eribulin,GSE50830,human,GSM1230601|GSM1230602|GSM1230603,GPL570,2.0
drug:P3300,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672074|GSM1672084|GSM1672096,GPL10558,2.0
drug:P5362,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Cells [Chemical/Ingredient],GSM824424|GSM824427|GSM824429|GSM824431|GSM824435|GSM824439|GSM824440,inhibitor|ligand,GSE33340,human,GSM824447|GSM824448,GPL6883,2.0
drug:P5363,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Cells [Chemical/Ingredient],GSM824424|GSM824427|GSM824429|GSM824431|GSM824435|GSM824439|GSM824440,inhibitor|ligand,GSE33340,human,GSM824451|GSM824452,GPL6883,2.0
drug:P5364,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Entire cell|Cells [Chemical/Ingredient],GSM824443|GSM824444,ligand,GSE33340,human,GSM824425|GSM824428|GSM824432|GSM824436,GPL6883,2.0
drug:P5365,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Cells [Chemical/Ingredient],GSM824443|GSM824444,ligand,GSE33340,human,GSM824426|GSM824434|GSM824438|GSM824442,GPL6883,2.0
drug:P5366,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Entire cell|Cells [Chemical/Ingredient],GSM824443|GSM824444,ligand,GSE33340,human,GSM824430|GSM824433|GSM824437|GSM824441,GPL6883,2.0
drug:P3301,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672075|GSM1672104|GSM1672117,GPL10558,2.0
drug:P3302,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672076|GSM1672115|GSM1672131,GPL10558,2.0
drug:P3303,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672085|GSM1672092|GSM1672134,GPL10558,2.0
drug:P1821,Cultured Cell Line|Endoplasmic Reticulum|Hepatocyte|Entire cell|Entire liver|Malignant Epithelial Cell|Hep G2 Cells,GSM1311090|GSM1311116|GSM1311142|GSM1311168,protein polypeptide chain|antioxidant|dimethyl sulfoxide|carbamazepine|methotrexate|diclofenac|L-proline residue|DNA damage-inducible transcript 3 protein,GSE54254,human,GSM1311108|GSM1311134|GSM1311160,GPL13158,2.0
drug:P1669,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,paclitaxel|eribulin,GSE50831,human,GSM1230833|GSM1230834|GSM1230835,GPL570,2.0
drug:P1668,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,eribulin|paclitaxel,GSE50831,human,GSM1230830|GSM1230831|GSM1230832,GPL570,2.0
drug:P905,"Cultured Cell Line|Cells|Tumor cells, malignant",GSM1230586|GSM1230587|GSM1230588,paclitaxel|eribulin,GSE50830,human,GSM1230574|GSM1230575|GSM1230576,GPL570,2.0
drug:P4019,Cells [Chemical/Ingredient],GSM360270|GSM360271|GSM360272,retinoic acid,GSE14427,human,GSM360285|GSM360286|GSM360287,GPL6102,2.0
drug:P1665,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,paclitaxel|eribulin,GSE50831,human,GSM1230815|GSM1230816|GSM1230817|GSM1230851|GSM1230852|GSM1230853,GPL570,2.0
drug:P1664,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,eribulin|paclitaxel,GSE50831,human,GSM1230812|GSM1230813|GSM1230814|GSM1230848|GSM1230849|GSM1230850,GPL570,2.0
drug:P4011,Monocytes|Cultured Cell Line|Fetus|Stromal Cells|Serum|Cells [Chemical/Ingredient],GSM360068|GSM360069,17beta-estradiol|streptomycin|penicillin|puromycin|dextran|medroxyprogesterone acetate,GSE14808,human,GSM360059|GSM360060|GSM360061,GPL2895,2.0
drug:P4010,Monocytes|Cultured Cell Line|Fetus|Stromal Cells|Serum|Cells [Chemical/Ingredient],GSM360068|GSM360069,17beta-estradiol|progesterone|streptomycin|penicillin|puromycin|dextran|medroxyprogesterone acetate,GSE14808,human,GSM360056|GSM360057|GSM360058,GPL2895,2.0
drug:P4013,Cells [Chemical/Ingredient]|Pancreas,GSM360270|GSM360271|GSM360272,retinoic acid,GSE14425,human,GSM360273|GSM360274|GSM360275,GPL6102,2.0
drug:P4012,Monocytes|Cultured Cell Line|Fetus|Stromal Cells|Serum|Cells [Chemical/Ingredient],GSM360068|GSM360069,17beta-estradiol|streptomycin|penicillin|puromycin|dextran,GSE14808,human,GSM360062|GSM360063|GSM360064,GPL2895,2.0
drug:P4015,Cells [Chemical/Ingredient]|Pancreas,GSM360270|GSM360271|GSM360272,retinoic acid,GSE14425,human,GSM360279|GSM360280,GPL6102,2.0
drug:P1667,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,paclitaxel|eribulin,GSE50831,human,GSM1230824|GSM1230825|GSM1230826,GPL570,2.0
drug:P4017,Cells [Chemical/Ingredient],GSM360270|GSM360271|GSM360272,retinoic acid,GSE14427,human,GSM360276|GSM360277|GSM360278,GPL6102,2.0
drug:P4016,Cells [Chemical/Ingredient],GSM360270|GSM360271|GSM360272,retinoic acid,GSE14427,human,GSM360273|GSM360274|GSM360275,GPL6102,2.0
drug:P3445,macrophage|Cells|Monocytes|Body tissue|peripheral blood|whole blood specimen,GSM1820064|GSM1820068,,GSE70821,human,GSM1820058|GSM1820062,GPL6480,2.0
drug:P1666,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,eribulin|paclitaxel,GSE50831,human,GSM1230821|GSM1230822|GSM1230823,GPL570,2.0
drug:P1661,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,paclitaxel|eribulin,GSE50831,human,GSM1230788|GSM1230789|GSM1230790,GPL570,2.0
drug:P1660,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,eribulin|paclitaxel,GSE50831,human,GSM1230785|GSM1230786|GSM1230787,GPL570,2.0
drug:P3593,Hepatocyte|Cells|Cells [Chemical/Ingredient],GSM197832|GSM197833|GSM197834|GSM197835,cadmium atom|protein polypeptide chain|antioxidant|cadmium dichloride,GSE8013,rat,GSM197836|GSM197837|GSM197838|GSM197839,GPL341,2.0
drug:P3592,Oral cavity|Entire liver|Bile fluid|Liver|Body tissue|Hepatic|Liver parenchyma|Mouse Liver,GSM1975485|GSM1975502|GSM1975505,agonist|cholesterol|chenodeoxycholic acid|bile acid|low-density lipoprotein|D-glucopyranose|methyl cellulose|N(6)-(1-carboxyethyl)-L-lysine|ethyl|Corticosteroid 11-beta-dehydrogenase isozyme 1,GSE76162,mouse,GSM1975484|GSM1975487|GSM1975490|GSM1975493|GSM1975496|GSM1975499,GPL11533,2.0
drug:P3599,"Ovarian|Cells [Chemical/Ingredient]|Tumor cells, malignant",GSM198900|GSM198901,cisplatin|oxaliplatin|platinum,GSE8057,human,GSM198916|GSM198917,GPL8300,2.0
drug:P3598,"Ovarian|Cells [Chemical/Ingredient]|Tumor cells, malignant",GSM198900|GSM198901,cisplatin|oxaliplatin|platinum,GSE8057,human,GSM198914|GSM198915,GPL8300,2.0
drug:P907,"Cultured Cell Line|Cells|Tumor cells, malignant",GSM1230586|GSM1230587|GSM1230588,paclitaxel|eribulin,GSE50830,human,GSM1230583|GSM1230584|GSM1230585,GPL570,2.0
drug:P1645,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230881|GSM1230882|GSM1230883,paclitaxel|eribulin,GSE50831,human,GSM1230716|GSM1230717|GSM1230718,GPL570,2.0
drug:P829,Body tissue|Entire liver|Mouse Liver,GSM1229277|GSM1229278|GSM1229279|GSM1229280|GSM1229281|GSM1229282|GSM1229283|GSM1229284,,GSE50789,mouse,GSM1229269|GSM1229270|GSM1229271|GSM1229272|GSM1229273|GSM1229274|GSM1229275|GSM1229276,GPL1261,2.0
drug:P5367,Entire breast|Cultured Cell Line|Epithelial Cells|Body tissue|Cells [Chemical/Ingredient],GSM824443|GSM824444,ligand,GSE33340,human,GSM824445|GSM824446,GPL6883,2.0
drug:P828,Body tissue|Entire liver|Mouse Liver,GSM1229277|GSM1229278|GSM1229279|GSM1229280|GSM1229281|GSM1229282|GSM1229283|GSM1229284,,GSE50789,mouse,GSM1229253|GSM1229254|GSM1229255|GSM1229256|GSM1229257|GSM1229258|GSM1229259|GSM1229260,GPL1261,2.0
drug:P1831,Cultured Cell Line|Endoplasmic Reticulum|Hepatocyte|Entire cell|Entire liver|Malignant Epithelial Cell|Hep G2 Cells,GSM1311091|GSM1311117|GSM1311143|GSM1311169,carbamazepine|protein polypeptide chain|antioxidant|dimethyl sulfoxide|diclofenac|L-proline residue|DNA damage-inducible transcript 3 protein,GSE54254,human,GSM1311101|GSM1311127|GSM1311153|GSM1311179,GPL13158,2.0
drug:P5564,Cells|Embryonic Stem Cells,GSM889496|GSM889498,,GSE36355,human,GSM889505|GSM889507,GPL6883,2.0
