!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Liver
!perturbation	Dexamethasone
!disease	150 mg/kg - 1 d
!end_metadata
RBP7	0.101515
STAC3	-0.091613
SLC13A4	-0.090090
HSD17B2	-0.085691
NAT8	-0.084730
SERPINA7	-0.083186
CIDEA	0.078734
CA3	-0.072694
ZNF354A	0.071062
CYP1A1	0.070404
SULT2A1	0.065505
RHBDD2	0.065321
GPT	0.062957
NOX4	-0.062949
AQP9	-0.061725
CTGF	0.061197
CXCL2	0.060690
CD74	-0.059871
FABP2	0.059675
FKBP5	0.059338
RRM2	-0.059227
FABP7	-0.058855
SLC17A3	-0.058753
IL33	-0.057937
CXCL12	-0.057865
FAM111A	-0.057744
CCND1	-0.057590
RGN	-0.056903
LRAT	-0.056607
CYP7A1	-0.056549
SERPINA6	-0.056125
PLA2G12A	0.055911
A2M	0.054794
CA12	0.054312
FADS2	-0.053308
LGALS9B	0.052963
UBD	-0.052375
CCDC80	-0.052337
CRYM	-0.052309
GPD1L	0.051827
SDS	0.051764
SLC34A2	-0.051515
OSGIN1	-0.051443
EIF4EBP3	0.050493
DUSP1	0.050117
MFSD2A	0.049318
UGT2B17	0.048591
ACSM3	-0.048575
RARRES1	-0.047302
SLPI	-0.046871
STAMBPL1	-0.046865
CEMIP	0.046846
ITPR1	0.046622
PLA2G4A	-0.046337
IGFALS	-0.046088
SLC13A5	0.045781
GDE1	-0.045181
PSAT1	0.045076
FMO1	-0.045067
SERPINB9	-0.045014
RDH16	0.044730
ACACA	0.044666
MTMR7	0.044233
LIN7A	-0.043344
ONECUT1	-0.043241
PLEKHB1	-0.043136
GLUL	-0.043007
SLC17A2	-0.042372
GPX2	0.042284
PEX11A	0.042167
GUCY2C	0.042158
ACMSD	0.042051
ALDH1B1	-0.041999
EDEM1	0.041781
POR	0.041585
ADH4	-0.041164
NNMT	0.040872
MAP1LC3B	0.040669
SLC2A5	0.040603
SLC41A3	0.040584
GOT1	0.040516
OMD	0.040352
CAV2	-0.040341
BHMT	0.040191
NR0B2	-0.039565
TMEM38B	0.039541
MAFB	0.039206
GBP2	-0.039171
ISG15	0.039148
SERPINE2	-0.039138
SLC12A3	0.039129
EHHADH	-0.039094
DIO1	-0.038840
CDKN1A	0.038460
PTPRG	0.038322
SLC13A3	-0.038274
PRSS23	-0.038180
CDK1	-0.037915
USP2	0.037822
OAS1	0.037567
MCM10	0.037505
STAB2	-0.037349
PYCARD	-0.036961
CLDN2	-0.036901
TSC22D3	0.036857
IGSF10	-0.036635
CIB2	-0.036501
CLDN3	-0.036477
UGT2A1	0.036445
CDH17	0.036346
ETHE1	0.036322
ACYP2	0.036095
LCN2	0.036082
ERI2	-0.036067
IL1R1	0.036009
SOD3	-0.035714
SLC7A7	-0.035499
FMO3	0.034884
KLKB1	-0.034420
DUSP6	-0.034405
KMO	-0.034394
H6PD	0.034247
CYP26A1	0.034208
SGK1	-0.034207
AOX1	-0.034048
SOCS2	-0.034041
PPCS	0.034020
ALDH1A1	-0.034019
DCN	0.033908
SALL1	0.033465
OLFML3	-0.033424
ACKR4	-0.033411
ABCG8	-0.033360
ADH1C	-0.033345
DHDDS	0.033039
MCM6	-0.032965
CROT	-0.032918
CORO1A	-0.032913
ADAM11	-0.032897
FAM134B	0.032840
ABHD2	-0.032736
CLEC4F	-0.032588
FMO5	-0.032522
BLVRB	0.032396
IRF8	-0.032315
B4GALNT1	0.032187
IFI44	0.032167
GADD45B	0.031941
AQP11	0.031892
FER1L5	0.031864
MKI67	-0.031862
FBXO27	0.031770
CDKN3	-0.031759
COQ10B	0.031720
UBE2C	-0.031703
EPHX1	-0.031664
ANG	-0.031639
CCL5	-0.031631
BDH1	-0.031475
HERPUD1	0.031355
ISLR	-0.031200
CD53	-0.031182
NR1D1	0.031156
RNASE4	-0.031125
ADAMTSL2	0.031110
CHKA	-0.031064
COTL1	-0.030845
TCF19	-0.030839
SLC37A4	0.030445
CCND2	-0.030299
COL14A1	-0.030080
TSPAN31	0.030051
CSRP1	-0.030025
LY86	-0.029927
PAQR9	-0.029897
FMO2	0.029804
GPT2	0.029746
TMEM164	0.029655
