!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Liver
!perturbation	Dexamethasone
!disease	1 mg/kg - 1 d
!end_metadata
RBP7	0.125749
S100G	0.125404
STAC3	-0.094150
FADS1	-0.086421
SLC13A4	-0.083073
CA3	-0.081203
SERPINA7	-0.076855
GRTP1	0.071274
ABCG5	-0.068004
HSD17B2	-0.066449
LIFR	0.066394
SERPINA6	-0.064881
FADS2	-0.063636
EPHX1	-0.061145
BDH1	-0.060620
ALDH1A1	-0.058697
NOX4	-0.058572
LMCD1	0.058425
CLEC14A	0.055696
CTR9	0.055590
RRM2	-0.055383
SLC5A1	0.054652
PRLR	0.054252
CA12	0.054073
SLPI	-0.053615
CTGF	0.053149
FABP2	0.052811
KMO	-0.052152
ZNF354A	0.051637
MYC	0.051288
IL33	-0.051088
ABCG8	-0.050854
CD74	-0.049931
GPT	0.049737
CITED4	0.049508
IGFBP1	0.049407
PLA2G12A	0.049358
OSBPL3	0.049032
EIF4EBP3	0.048504
ATF3	0.048280
MLC1	0.048213
OSGIN1	-0.047868
CCND1	-0.047716
SLC17A3	-0.047472
SULT2A1	0.046996
FER1L5	0.046197
MTMR7	0.045956
CCRN4L	0.045793
RARRES1	-0.045771
TNFRSF9	0.045676
RHOB	0.045349
GDF15	0.045301
PLEKHB1	-0.045185
ADAM11	-0.044756
BAIAP2L1	0.044619
TMEM50B	0.044216
ALAS2	-0.043844
ACMSD	0.043688
SLC41A3	0.043556
LIN7A	-0.042819
GPAM	0.042689
EHHADH	-0.042675
CORO1A	-0.042571
CDK1	-0.042392
ARRDC2	0.041257
LRAT	-0.041072
OSBPL9	0.040775
NET1	0.040271
TMEM55A	0.040209
ADH4	-0.040164
SYT4	0.040120
CSAD	-0.039792
MYOM2	0.039765
AOX1	-0.039462
HSD3B7	-0.039211
FABP7	-0.039073
TMEM164	0.038338
CD53	-0.038039
CYP17A1	-0.037920
C9	-0.037865
PLA2G4A	-0.037740
ISLR	-0.037588
IGFALS	-0.037524
SERPINB9	-0.037327
SALL1	0.037240
CAV2	-0.037187
PSAT1	0.036887
NFKBIA	0.036858
CCDC80	-0.036842
BPNT1	0.036780
RHBDD2	0.036483
SLC38A2	0.036459
ITPR1	0.036436
CA2	0.036340
INHBC	-0.036298
UBD	-0.036255
FDFT1	-0.035960
NUS1	0.035881
SLC16A6	0.035771
SLC10A1	-0.035752
REXO4	0.035724
HES6	-0.035665
ALDH1B1	-0.035494
CSRP1	-0.035292
CEP44	0.035233
NAT8	-0.035016
DUSP6	-0.034521
GSTK1	0.034294
MARCKSL1	-0.034231
SLC13A5	0.034084
SOD3	-0.033817
FKBP5	0.033690
SLC41A2	0.033518
COQ10B	0.033343
CIB2	-0.033264
DUSP1	0.032924
TOMM70A	0.032899
SLC17A2	-0.032846
ITGAL	-0.032811
