!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Quadriceps (KLF15 KO)
!perturbation	Dexamethasone
!disease	2 mg/kg
!end_metadata
LCN2	0.132919
SOX4	0.089557
PTGDS	0.081757
PPP1R3C	0.071967
STC2	0.071740
PTPRF	0.067339
FLVCR2	0.066436
CKLF	0.065515
KIAA0513	0.061477
SLC39A14	0.059184
DIO3	0.057837
GREB1	0.057730
SLC30A2	0.057562
PNMT	0.056124
ANGPTL4	0.055655
GBP4	-0.055485
C1orf168	0.054344
FAM83D	-0.053384
FAM150B	0.052790
PRND	-0.052329
RNF169	0.052205
FAM107A	0.051999
ACKR3	0.051805
FKBP5	0.051042
CD27	0.051013
HP	0.050977
FOXO1	0.050870
MAP3K6	0.050610
CDKN1A	0.049446
CXXC5	-0.049174
PGLYRP1	0.048596
PSMB9	-0.048363
KCNK1	0.048281
LOX	0.047731
LRG1	0.047434
TIAM2	0.046940
MAFF	0.046601
CXCL13	0.046587
SESN1	0.046091
APBB3	0.045565
SULT1E1	0.045462
IL33	-0.044230
MS4A8	0.043917
C1QTNF2	-0.043697
UCP1	-0.043695
ITGA11	-0.043099
TMEM252	0.043014
SOCS1	-0.043009
TFCP2L1	0.042749
FAM46B	0.042322
PSMB8	-0.042261
IL1R2	0.042044
PROM1	0.041531
APOH	0.041471
CEBPD	0.041339
HBEGF	0.040719
GNA14	0.040454
MYO5A	0.040326
FIBIN	0.040193
UBA7	-0.040123
TMEM37	0.039966
MUSK	0.039529
GBP2	-0.039497
DDIT4	0.039001
PREX1	-0.038657
CHST15	0.038397
TES	0.038176
EDN1	0.038117
DNM1	-0.037914
CCL24	-0.037827
SAMD5	-0.037727
PIK3R1	0.037666
LY6E	-0.037592
HOGA1	0.036883
EPHX3	-0.036578
RTP4	-0.036573
TP53INP1	0.036390
C10orf10	0.036375
TRIM63	0.036351
CDKAL1	0.036307
CD274	-0.036215
PPARGC1B	-0.036135
AIF1	-0.036098
S100A8	0.036049
ZNF189	0.035982
SLC7A8	0.035959
MAP7D2	0.035907
ANXA13	0.035751
PCDH12	-0.035688
SFRP4	-0.035553
CD248	-0.035508
DIO2	0.035448
TIMP4	-0.035446
SERPINA3	0.035295
ALDH1A2	-0.035271
LEP	0.034912
GNG11	-0.034843
MEOX1	-0.034832
SP110	-0.034816
RGCC	0.034361
TMEM119	-0.034283
MSTN	0.034006
LANCL3	0.033852
FST	0.033841
HAS3	-0.033699
KCNJ12	0.033571
CROCC	-0.033495
CCL13	-0.033443
PDK4	0.033423
C3orf18	-0.033404
CAMP	0.033380
CCND1	-0.033290
NFIL3	0.033276
KCNF1	0.033145
PLIN5	0.033126
PGAP3	0.032974
AMIGO3	-0.032787
MRAS	0.032594
CXCL10	-0.032509
BGLAP	0.032475
AMICA1	0.032407
LRRC58	0.032328
ALPL	-0.032316
NMRK2	-0.032086
TLE4	0.031996
SCRG1	0.031899
CYTL1	0.031890
LRRC38	-0.031826
FRMPD1	0.031773
NDRG1	0.031609
ADAM32	-0.031528
ENOX2	0.031479
BMPER	0.031431
ABCA1	0.031246
RHOB	0.031204
USHBP1	-0.030980
CYGB	-0.030970
ADAMTSL2	0.030803
CA4	0.030725
OPN1LW	0.030668
SCARA3	-0.030645
AKAP5	-0.030581
ADAMTS15	0.030565
PHYHD1	0.030557
LRRC4	0.030485
DAB2IP	0.030458
DBP	-0.030399
DOC2B	0.030260
PRKCD	0.030246
MME	0.030194
SEPT4	-0.030158
CLDN10	0.030121
PRRX2	-0.029973
PLIN4	0.029813
ERRFI1	0.029769
DPYSL3	-0.029680
EMP3	-0.029639
EMP1	-0.029579
SSPO	0.029288
LRIG1	0.029249
SMIM5	0.029138
HLA-DQB1	-0.029065
IFIT1B	-0.029014
PAQR7	-0.028992
FGD2	-0.028963
C5orf28	0.028746
SLC37A1	0.028611
ZNF423	0.028602
INMT	0.028569
CYP1B1	0.028563
TSPAN15	-0.028491
CA9	0.028348
SLC28A2	-0.028331
H19	-0.028264
MAMSTR	-0.028232
TNFAIP2	-0.028217
KDELR3	-0.028100
CARNS1	-0.027976
TP53I11	-0.027953
BACH2	0.027916
ARRDC3	0.027915
ICAM2	-0.027852
NOTCH3	-0.027847
DPEP1	0.027842
LRRTM3	0.027838
HTRA1	0.027662
PPARA	0.027586
LOXL1	-0.027473
MYBPH	-0.027399
OMD	0.027362
CCRL2	-0.027299
ZBP1	-0.027272
DKK2	0.027230
SLC4A1	0.027196
ESM1	-0.027180
SDC4	0.027159
UCP3	0.027148
FAM134B	0.027148
SPHK1	0.027135
ACSL3	0.027117
MAFB	0.026963
PTPRCAP	0.026942
HLA-DQA1	-0.026883
ISG15	-0.026843
JAM2	-0.026800
TPST2	0.026798
KRT18	-0.026676
SPON1	0.026655
GRIN2A	0.026652
GBP5	-0.026541
OASL	-0.026530
