!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HEK293 cells
!perturbation	Dexamethasone
!disease	100nM - 6 hrs
!end_metadata
RASD1	0.187111
S100P	0.169814
TRIM51	0.123696
PDK4	0.101244
TIPARP	0.097382
ADAMTS1	-0.096289
TUBA3E	0.090731
CEBPD	0.087414
ARRDC4	-0.084583
CDKN1C	0.084474
APOLD1	0.079469
RP1L1	0.077693
SLC6A3	0.076470
TUBA3D	0.075040
C10orf10	0.073617
PHACTR3	0.071213
CST1	0.068650
ARMC12	0.067670
TRIM49D2P	0.066720
HSPA1B	-0.064926
MYC	-0.064746
TRIM49D1	0.064601
SGK1	0.063430
G0S2	-0.060089
MYOM2	0.060055
BHLHE40	-0.059192
ANKRD37	-0.058532
CNKSR3	0.057807
HELZ2	0.057391
FAM90A1	0.056110
S1PR3	0.055562
HES1	-0.054823
ERN1	0.053472
KLHL36	0.052412
HOXA9	-0.052013
NET1	0.051750
SOX4	-0.051391
CHST3	0.051102
RGS16	-0.050676
PCDH19	-0.050285
FAM104A	0.049911
TRIM48	0.049226
KCNG1	0.049124
KLF15	0.048933
SLC2A3	0.048881
HOXA13	-0.048780
MID1IP1	-0.047579
NFKBIA	0.046762
HMGCS1	-0.046686
FKBP5	0.046358
TUBA3C	0.045927
TRIB1	-0.044769
ITGB2	0.042966
STC1	-0.042961
ZFAND5	0.042693
C17orf80	0.042635
PER1	0.042356
SNN	0.042176
C1QTNF1	0.041901
TEX10	0.041682
HIST2H2BE	-0.041666
SCRG1	0.041292
CDKN1A	0.041241
DDIT3	-0.040479
PRR15L	0.039911
ELK1	0.039849
POU3F2	-0.039449
ELL2	0.039310
SOX2	-0.039265
NR2F1	-0.039091
MT1X	0.039027
NOL3	0.039014
HOXA6	-0.038844
AMOT	-0.038628
FOXO4	0.038532
HOXA11	-0.038178
SKIDA1	-0.038172
CDC42EP4	0.038141
CTDSPL	0.038092
SLC25A4	0.038091
SLC2A14	0.037699
RPRM	-0.036951
JUN	-0.036838
EDNRA	0.036724
GAS1	-0.036485
PNMT	0.036482
IGFBP5	-0.036435
RHOU	0.036394
RNF122	-0.036372
KBTBD11	0.036339
HEY1	-0.036144
MAFB	0.036113
LIPG	0.036083
SOX7	0.035346
IER3	-0.034653
CCL20	-0.034231
KLHL15	-0.034054
C3orf58	-0.033974
ID4	-0.033951
HOXA11-AS	-0.033655
ZDHHC14	0.033261
CXCL8	-0.033208
RFESD	-0.033201
NEFL	-0.033019
SWT1	0.032953
TRIM49C	0.032953
HIST2H4B	-0.032695
INSIG1	-0.032509
IRS4	-0.032399
PLAUR	0.032399
IER5	-0.032396
CRISPLD2	0.032349
KLF10	-0.032271
HOXA5	-0.032126
GPER1	0.032068
IRF8	0.032041
PHLDA1	0.032037
RAI2	-0.031916
BTG1	-0.031559
SERTAD4	-0.031547
ZNF18	0.031351
SLC38A11	0.031155
ARID5B	-0.031020
KAL1	-0.030971
ZNF189	0.030937
NSDHL	0.030683
MEX3B	-0.030670
ATP1A1	0.030669
HIST2H4A	-0.030658
SPEN	-0.030637
ASB9	0.030426
SLC41A1	0.030175
CLN8	0.029956
EGR1	-0.029953
FHDC1	0.029899
TNF	-0.029139
KRTAP19-1	-0.029006
EIF4A3	0.028729
TMEM43	0.028719
IRF2BPL	-0.028581
SCHIP1	-0.028573
FOS	-0.028256
BCOR	-0.027963
LOC440040	0.027963
BLM	0.027931
FAM46C	-0.027922
HOXA10	-0.027851
KCNA5	0.027799
RNF115	0.027725
ZBTB7C	0.027376
FAM189A2	0.027169
GRASP	0.027160
TSC22D3	0.026953
PTCHD1	-0.026948
ZNF711	-0.026899
SLC9A2	0.026859
HEY2	-0.026806
BRD2	-0.026678
XIST	-0.026602
KRTAP19-6	-0.026468
GDF15	-0.026461
AEN	0.026377
PIM2	-0.026320
RHOB	0.026246
HSD17B1	0.026214
SERPINA3	0.026144
HOXC9	-0.026125
PNLIP	0.026065
INHBB	0.025953
NRTN	0.025930
HOXC8	-0.025918
FOXA1	-0.025909
JAK1	0.025813
CFAP20	0.025812
SERPINF2	0.025796
C3orf70	0.025637
PDZD2	0.025584
OGFRL1	0.025579
CCDC107	0.025508
BIRC3	0.025477
ZIC2	-0.025443
HIST2H3A	-0.025370
WNT5A	-0.025324
RAB33A	0.025195
CYR61	-0.025147
HOXB8	-0.025095
TMEM91	0.025061
HOXB5	-0.024982
SFXN5	0.024960
TMEM87A	0.024869
TADA2B	0.024781
ZNF57	0.024729
ACSL1	0.024693
NXPE3	0.024636
FGF9	-0.024570
NR2F2	-0.024420
SOX18	0.024367
FAM217B	0.024339
ADARB1	0.024139
HOXD11	-0.024073
GPR64	0.024050
STOM	0.024031
SLC39A11	0.023908
SUN2	0.023814
TSHZ1	-0.023762
DUSP5	-0.023741
C3orf52	-0.023711
PHLDA2	0.023676
RGMB	-0.023602
FZD8	-0.023522
NR4A2	-0.023465
KIAA0232	0.023374
TLE4	-0.023300
DDIT4	-0.023288
PRKCE	0.023090
CCDC58	-0.023076
PTTG1IP	0.023040
HSPA2	0.023008
PDGFC	-0.022972
EPHA4	-0.022714
SATB2	-0.022680
ADAMTS8	0.022679
KIAA0355	0.022631
NOV	-0.022615
BASP1	-0.022566
EFNB2	-0.022550
NPTX2	-0.022515
CKS2	-0.022428
ABCC8	0.022228
COMP	0.022197
FGF18	0.022060
HOXD10	-0.022049
CDX2	-0.022020
CCND1	-0.021967
TBC1D9	-0.021898
ESYT2	0.021896
TRIB3	-0.021888
TRIB2	-0.021846
GRHL1	0.021839
KDM3A	-0.021826
PKP2	0.021749
MID1	-0.021712
ANKRD50	-0.021698
WDR60	0.021697
FBRSL1	0.021687
OSBPL5	0.021660
STC2	-0.021569
SQLE	-0.021496
RAB20	0.021484
SFRP2	-0.021441
ULK1	0.021403
MAP3K6	0.021337
MOCOS	0.021249
TOX3	-0.021120
LPAR3	0.020997
HIST1H2BJ	-0.020944
TMEM108	0.020921
RUNDC3A	0.020912
MYLIP	-0.020905
KIAA0513	0.020862
LOC100630918	0.020842
FOSB	-0.020839
DNAH17	-0.020819
PIM1	-0.020765
NMI	0.020729
PRKCQ	0.020679
GADD45G	0.020654
BBS12	0.020640
C17orf100	0.020629
NRN1	-0.020582
PTGER4	-0.020559
GCH1	0.020550
INHBE	-0.020540
SLC31A2	0.020509
CDKN1B	-0.020507
GLI3	-0.020463
ZNF784	0.020441
BAHD1	-0.020393
TNFRSF10D	0.020341
PAQR9	-0.020289
SCGB2A1	0.020283
HMOX1	-0.020275
ZDHHC8P1	0.020195
TFAP2A	-0.020153
FAM86EP	-0.020119
CASD1	0.020080
ADRB2	-0.020016
CBLB	0.020010
SPSB1	0.020005
RHPN1	0.019902
BBS1	0.019849
CRK	0.019828
GTPBP2	0.019825
MIR888	0.019791
XK	0.019759
RASEF	-0.019736
MRGPRG-AS1	-0.019710
SSTR2	0.019601
SHC4	0.019587
FUT4	0.019578
EBF2	-0.019495
CA5B	-0.019493
PUS1	0.019481
NRP1	-0.019387
LOC93622	0.019360
F3	0.019347
PAQR5	-0.019343
PROK2	-0.019315
PPP1R15A	-0.019290
SLC1A3	0.019280
IDI1	-0.019261
ATXN1	-0.019203
FAM60A	-0.019196
EP400	0.019169
IRF2BP2	-0.019149
PDZD8	0.019092
TEX19	-0.019028
KLF13	-0.018879
TSPAN10	0.018798
CRTAC1	0.018778
STMND1	-0.018767
MECP2	0.018737
SLC25A18	0.018732
FOXN4	0.018723
UBQLN2	-0.018626
EFNA1	-0.018591
IRS2	-0.018572
DIO3	-0.018553
ZBED9	0.018549
TNFRSF12A	-0.018547
PTP4A1	-0.018543
ZFP36	0.018482
WDR63	0.018468
SCNN1G	0.018454
EGFLAM	0.018387
APCS	0.018373
HDAC4	0.018356
ASB7	0.018352
HIST2H2AA3	-0.018335
SOSTDC1	-0.018331
PNP	-0.018329
ATP11B	0.018326
SGSM1	0.018308
CUL4B	-0.018305
PROX1	-0.018241
RGS2	0.018238
CABLES1	-0.018206
KIAA1804	-0.018044
CAMK1G	0.018009
ZNF561	0.017989
CDKN2B	-0.017962
OR2Y1	0.017894
MEIS1	-0.017825
TSPAN9	0.017797
RGS19	0.017791
HOXD9	-0.017762
BTNL10	-0.017718
JUNB	-0.017697
RNF43	-0.017661
BCL11B	-0.017650
BHLHE41	-0.017648
PCSK5	0.017621
LRRC3DN	-0.017582
TMX4	0.017581
CCND2	-0.017555
PITPNA	0.017503
MIR32	0.017485
SOCS1	0.017476
ZNF540	0.017472
FZD4	0.017424
FOXQ1	-0.017416
NGF	-0.017409
MIR324	-0.017400
PDLIM1	0.017400
RASGRP1	0.017381
RICTOR	0.017311
TMEM27	-0.017292
MEX3C	-0.017250
DISP1	0.017228
THAP10	0.017217
CLPTM1L	0.017126
FOXC1	-0.017110
FAM72D	-0.017045
MIR509-2	0.017038
HIC2	0.017030
NFAM1	-0.017017
GTF2E1	0.016984
MARVELD3	0.016964
ZSWIM5	0.016941
GADD45A	-0.016920
ZIC1	0.016919
SOCS2	0.016918
ID3	-0.016897
WDR20	0.016894
CXCL2	-0.016882
PCDH7	-0.016879
MCC	-0.016878
CHAC1	0.016838
UBALD1	0.016814
PTMA	-0.016782
MB	0.016765
DDX3X	-0.016762
TSPAN3	0.016761
LOC100132831	-0.016721
PPP1R3F	0.016716
FAM43B	-0.016703
ENPP5	0.016700
SIX1	-0.016699
SCARNA27	0.016696
ELMOD1	0.016670
HIVEP1	-0.016652
ZNF503	-0.016539
LOC284023	0.016534
UNC5B	-0.016530
LPL	0.016510
DLX1	-0.016462
MT1A	0.016444
HOXC4	-0.016417
GPR37	-0.016380
FAM105A	0.016364
HNRNPL	-0.016360
ZBTB10	-0.016323
CSRP2	-0.016319
STK35	0.016314
FAM73B	0.016255
MERTK	0.016170
HMGB3	0.016146
NDNF	-0.016131
GEM	-0.016120
MYCN	0.016093
TNMD	-0.016091
CGA	-0.016062
HOXD13	-0.016057
PRKAR1B	0.016040
E2F3	-0.016035
SGK223	-0.016016
LOC100190986	-0.016006
HIST1H1C	-0.015997
CRTC1	0.015994
HNRNPA1P33	-0.015983
NUDT16	0.015982
NAV1	-0.015954
SKAP2	-0.015951
FAM84B	-0.015939
CLEC16A	0.015892
HIST1H2AC	-0.015891
SLCO4A1	0.015881
IL12A	-0.015878
PTCH1	-0.015871
ZNF462	-0.015863
ENC1	-0.015838
STK11	0.015832
PRKAB2	0.015831
PRRG1	-0.015799
KCNS3	0.015778
SH2B3	-0.015764
MN1	0.015736
CDIP1	0.015734
MAEA	0.015728
CSRNP1	-0.015708
SLC35D3	-0.015666
OSBPL11	0.015645
TRIM2	-0.015615
H1F0	-0.015603
HIST2H3C	-0.015599
AUTS2	-0.015585
ZSCAN10	0.015550
SAFB2	0.015533
THBS1	0.015515
CALD1	0.015514
HOXA3	-0.015506
ANO6	0.015498
